mappingFeatureId,inchikey,inchi,smiles,clean_smiles,annotation_source,mz,rt,compound_name
287,GFFGJBXGBJISGV,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",Nc1nc[nH]c2ncnc1-2,Nc1ncnc2[nH]cnc12,sirius,136.06079628927125,0.85535,Adenin
315,UYTPUPDQBNUYGX,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",N=c1nc(O)c2nc[nH]c2[nH]1,Nc1nc(=O)c2[nH]cnc2[nH]1,sirius,152.05567743186938,0.87726116,Guanine
325,OANCGDPJMNPBDV,"InChI=1S/C11H21NO7/c1-5(2)7(10(16)17)12-4-11(18)9(15)8(14)6(3-13)19-11/h5-9,12-15,18H,3-4H2,1-2H3,(H,16,17)",CC(C)C(NCC1(O)OC(CO)C(O)C1O)C(=O)O,CC(C)C(NCC1(O)OC(CO)C(O)C1O)C(=O)O,sirius,280.1369716368209,0.9020222,"3-methyl-2-({[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl}amino)butanoic acid"
347,FDGQSTZJBFJUBT,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",Oc1ncnc2[nH]cnc12,O=c1[nH]cnc2[nH]cnc12,sirius,137.04483629037657,0.9517222,Sarkin
352,OUYCCCASQSFEME,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)",NC(Cc1ccc(O)cc1)C(=O)O,NC(Cc1ccc(O)cc1)C(=O)O,sirius,182.080128365856,0.96279997,L-Tyr
752,OUYCCCASQSFEME,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)",NC(Cc1ccc(O)cc1)C(=O)O,NC(Cc1ccc(O)cc1)C(=O)O,sirius,182.0800769736356,5.020233,L-Tyr
364,LRFVTYWOQMYALW,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",Oc1nc(O)c2nc[nH]c2n1,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,sirius,153.03968878169323,0.99568605,Xanthin
374,WQKIVDUWFNRJHE,"InChI=1S/C19H32N2O13/c1-6(17(28)29)31-16-12(21-8(3)25)18(30)32-10(5-23)15(16)34-19-11(20-7(2)24)14(27)13(26)9(4-22)33-19/h6,9-16,18-19,22-23,26-27,30H,4-5H2,1-3H3,(H,20,24)(H,21,25)(H,28,29)",CC(O)=NC1C(OC2C(CO)OC(O)C(N=C(C)O)C2OC(C)C(=O)O)OC(CO)C(O)C1O,CC(=O)NC1C(OC2C(CO)OC(O)C(NC(C)=O)C2OC(C)C(=O)O)OC(CO)C(O)C1O,suspect,497.1961102289316,1.0194249,"2-[(3-acetamido-5-{[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-2-hydroxy-6-(hydroxymethyl)oxan-4-yl)oxy]propanoic acid"
382,OIRDTQYFTABQOQ,"""InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7+,10-/m1/s1""",Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,gnps:sirius,268.10282942034013,1.0277444,Vidarabine
382,OIRDTQYFTABQOQ,"""InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7+,10-/m1/s1""",Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,gnps:sirius,268.10282942034013,1.0277444,Myocol
401,OLXZPDWKRNYJJZ,"InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)",Nc1ncnc2c1ncn2C1CC(O)C(CO)O1,Nc1ncnc2c1ncn2C1CC(O)C(CO)O1,sirius,252.1079654093764,1.1194612,Deoxyadenosine
413,YKBGVTZYEHREMT,"InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)",N=c1nc(O)c2ncn(C3CC(O)C(CO)O3)c2[nH]1,Nc1nc(=O)c2ncn(C3CC(O)C(CO)O3)c2[nH]1,sirius,268.10286388963203,1.1265832,Deoxyguanosine
405,KROPQMAJPWOGBH,"InChI=1S/C18H33NO12/c1-2-3-8(22)7(19)6-28-17-15(27)13(25)16(10(5-21)30-17)31-18-14(26)12(24)11(23)9(4-20)29-18/h2-3,7-18,20-27H,4-6,19H2,1H3",CC=CC(O)C(N)COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CC=CC(O)C(N)COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,suspect,456.20595195355895,1.135739,"2-[(3S,4R)-6-[(E,2S,3R)-2-amino-3-hydroxyhex-4-enoxy]-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
408,VYGRYVGDPYFVCA,"InChI=1S/C12H23NO7/c1-3-6(2)8(11(17)18)13-5-12(19)10(16)9(15)7(4-14)20-12/h6-10,13-16,19H,3-5H2,1-2H3,(H,17,18)",CCC(C)C(NCC1(O)OC(CO)C(O)C1O)C(=O)O,CCC(C)C(NCC1(O)OC(CO)C(O)C1O)C(=O)O,sirius,276.142678274492,1.1525694,"3-methyl-2-({[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl}amino)pentanoic acid"
409,VYGRYVGDPYFVCA,"InChI=1S/C12H23NO7/c1-3-6(2)8(11(17)18)13-5-12(19)10(16)9(15)7(4-14)20-12/h6-10,13-16,19H,3-5H2,1-2H3,(H,17,18)",CCC(C)C(NCC1(O)OC(CO)C(O)C1O)C(=O)O,CCC(C)C(NCC1(O)OC(CO)C(O)C1O)C(=O)O,sirius,294.15340056589235,1.1566278,"3-methyl-2-({[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl}amino)pentanoic acid"
426,LDCYZAJDBXYCGN,"InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)",NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,sirius,221.0907185754953,1.1951778,Tript-Oh
444,HFDLDPJYCIEXJP,"InChI=1S/C10H9NO/c1-12-9-4-5-10-8(7-9)3-2-6-11-10/h2-7H,1H3",COc1ccc2ncccc2c1,COc1ccc2ncccc2c1,sirius,160.0747143867596,1.2776972,
452,ZGZWMFXNXFNBOT,"InChI=1S/C8H9N5O3/c9-8-11-6-5(7(16)12-8)13(3-10-6)2-1-4(14)15/h3H,1-2H2,(H,14,15)(H3,9,11,12,16)",N=c1nc(O)c2c(ncn2CCC(=O)O)[nH]1,Nc1nc(=O)c2c(ncn2CCC(=O)O)[nH]1,sirius,224.0767169704378,1.3772694,"3-(2-amino-6-oxo-6,7-dihydro-1H-purin-7-yl)propanoic acid"
466,COLNVLDHVKWLRT,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)",NC(Cc1ccccc1)C(=O)O,NC(Cc1ccccc1)C(=O)O,sirius,166.08534737992144,1.5171722,L-Phe
482,FAVRCIXPIVJIPN,"InChI=1S/C15H21NO7/c17-7-11-12(18)13(19)15(22,23-11)8-16-10(14(20)21)6-9-4-2-1-3-5-9/h1-5,10-13,16-19,22H,6-8H2,(H,20,21)",O=C(O)C(Cc1ccccc1)NCC1(O)OC(CO)C(O)C1O,O=C(O)C(Cc1ccccc1)NCC1(O)OC(CO)C(O)C1O,sirius,310.12800608376534,1.6672667,N-(1-Deoxy-1-Fructosyl)Phenylalanine
485,FAVRCIXPIVJIPN,"InChI=1S/C15H21NO7/c17-7-11-12(18)13(19)15(22,23-11)8-16-10(14(20)21)6-9-4-2-1-3-5-9/h1-5,10-13,16-19,22H,6-8H2,(H,20,21)",O=C(O)C(Cc1ccccc1)NCC1(O)OC(CO)C(O)C1O,O=C(O)C(Cc1ccccc1)NCC1(O)OC(CO)C(O)C1O,gnps:sirius,328.13776972239083,1.6687971,N-(1-Deoxy-1-Fructosyl)Phenylalanine
492,VNYDHJARLHNEGA,"InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)",NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)O,NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)O,sirius,279.1337211004332,1.7687055,
509,ROHDXJUFQVRDAV,"InChI=1S/C12H16N2O4/c13-9(6-8-4-2-1-3-5-8)11(16)14-10(7-15)12(17)18/h1-5,9-10,15H,6-7,13H2,(H,14,16)(H,17,18)",NC(Cc1ccccc1)C(O)=NC(CO)C(=O)O,NC(Cc1ccccc1)C(=O)NC(CO)C(=O)O,sirius,253.1172874632817,1.953886,2-[[(2S)-2-amino-3-phenylpropanoyl]amino]-3-hydroxypropanoic acid
510,KOAWDFCVOHGUFB,"InChI=1S/C8H13N3O2/c1-2-11-5-10-4-6(11)3-7(9)8(12)13/h4-5,7H,2-3,9H2,1H3,(H,12,13)",CCn1cncc1CC(N)C(=O)O,CCn1cncc1CC(N)C(=O)O,sirius,206.09138691847272,1.9951972,(2R)-2-amino-3-(3-ethylimidazol-4-yl)propanoic acid
513,GLUBLISJVJFHQS,"InChI=1S/C11H14N2O3/c12-9(11(16)13-7-10(14)15)6-8-4-2-1-3-5-8/h1-5,9H,6-7,12H2,(H,13,16)(H,14,15)",NC(Cc1ccccc1)C(O)=NCC(=O)O,NC(Cc1ccccc1)C(=O)NCC(=O)O,sirius,223.1068539069097,2.0939555,2-[[(2R)-2-azaniumyl-3-phenylpropanoyl]amino]acetate
514,NMDDZEVVQDPECF,"InChI=1S/C7H16N2O2/c8-5-3-1-2-4-6(9)7(10)11/h6H,1-5,8-9H2,(H,10,11)",NCCCCCC(N)C(=O)O,NCCCCCC(N)C(=O)O,sirius,183.11171690838955,2.0948446,"(2S)-2,7-diaminoheptanoate"
526,QIVBCDIJIAJPQS,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)",NC(Cc1c[nH]c2ccccc12)C(=O)O,NC(Cc1c[nH]c2ccccc12)C(=O)O,gnps:sirius,205.09514406049365,2.205803,DL-Tryptophan
526,QIVBCDIJIAJPQS,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)",NC(Cc1c[nH]c2ccccc12)C(=O)O,NC(Cc1c[nH]c2ccccc12)C(=O)O,gnps:sirius,205.09514406049365,2.205803,Htrp
527,PLVPPLCLBIEYEA,"InChI=1S/C11H9NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-7,12H,(H,13,14)",O=C(O)C=Cc1c[nH]c2ccccc12,O=C(O)C=Cc1c[nH]c2ccccc12,sirius,188.0695779553339,2.2078474,Trans-3-Indoleacrylic Acid
537,RUFPHBVGCFYCNW,"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2",Nc1cccc2ccccc12,Nc1cccc2ccccc12,sirius,161.10632521391213,2.3240168,Naphthalen-1-Amine
