mappingFeatureId,inchikey,inchi,smiles,clean_smiles,annotation_source,mz,rt,compound_name
282,LXNHXLLTXMVWPM,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",Cc1ncc(CO)c(CO)c1O,Cc1ncc(CO)c(CO)c1O,sirius,170.08012890252834,0.8961055,Pyridoxol
286,UYTPUPDQBNUYGX,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",N=c1nc(O)c2nc[nH]c2[nH]1,Nc1nc(=O)c2[nH]cnc2[nH]1,sirius,152.0556028105663,0.9044972,Guanine
314,FDGQSTZJBFJUBT,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",Oc1ncnc2[nH]cnc12,O=c1[nH]cnc2[nH]cnc12,sirius,137.04477960446675,0.96046114,Sarkin
315,OUYCCCASQSFEME,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)",NC(Cc1ccc(O)cc1)C(=O)O,NC(Cc1ccc(O)cc1)C(=O)O,sirius,182.08011414681667,0.9610445,L-Tyr
317,URCADIGEIOYLRQ,"InChI=1S/C14H21NO6/c15-6-5-8-1-3-9(4-2-8)20-14-13(19)12(18)11(17)10(7-16)21-14/h1-4,10-14,16-19H,5-7,15H2",NCCc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,NCCc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,sirius,300.1429459382635,0.97079164,Tyrosamine beta-D-glucoside
325,LRFVTYWOQMYALW,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",Oc1nc(O)c2nc[nH]c2n1,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,sirius,153.03970553903557,0.9899972,Xanthin
344,OIRDTQYFTABQOQ,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)",Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,sirius,268.10277468410294,1.0418972,Myocol
349,PXAGSWBDUVOULJ,"InChI=1S/C14H15NO9/c16-7-8(17)10(12(20)21)23-13(9(7)18)24-14-11(19)15-5-3-1-2-4-6(5)22-14/h1-4,7-10,13-14,16-18H,(H,15,19)(H,20,21)",O=C(O)C1OC(OC2Oc3ccccc3N=C2O)C(O)C(O)C1O,O=C1Nc2ccccc2OC1OC1OC(C(=O)O)C(O)C(O)C1O,sirius,380.03858331227457,1.058664,HBOA glucuronide
351,NYHBQMYGNKIUIF,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)",N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,Nc1nc(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,sirius,284.0977384628896,1.0619861,Guanosin
367,VYGRYVGDPYFVCA,"InChI=1S/C12H23NO7/c1-3-6(2)8(11(17)18)13-5-12(19)10(16)9(15)7(4-14)20-12/h6-10,13-16,19H,3-5H2,1-2H3,(H,17,18)",CCC(C)C(NCC1(O)OC(CO)C(O)C1O)C(=O)O,CCC(C)C(NCC1(O)OC(CO)C(O)C1O)C(=O)O,sirius:suspect,294.153436610676,1.1428862,"3-methyl-2-({[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl}amino)pentanoic acid"
369,VYGRYVGDPYFVCA,"InChI=1S/C12H23NO7/c1-3-6(2)8(11(17)18)13-5-12(19)10(16)9(15)7(4-14)20-12/h6-10,13-16,19H,3-5H2,1-2H3,(H,17,18)",CCC(C)C(NCC1(O)OC(CO)C(O)C1O)C(=O)O,CCC(C)C(NCC1(O)OC(CO)C(O)C1O)C(=O)O,sirius,276.14309521013,1.1463084,"3-methyl-2-({[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl}amino)pentanoic acid"
374,WTYYPLSFICPDGL,"InChI=1S/C13H17N5O4/c1-2-3-14-11-8-12(16-5-15-11)18(6-17-8)13-10(21)9(20)7(4-19)22-13/h2,5-7,9-10,13,19-21H,1,3-4H2,(H,14,15,16)",C=CCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,C=CCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,sirius,308.1324828302648,1.1797972,
376,PECYZEOJVXMISF,"InChI=1S/C3H8N2O2/c4-1-2(5)3(6)7/h2H,1,4-5H2,(H,6,7)",NCC(N)C(=O)O,NCC(N)C(=O)O,sirius,127.0492486760916,1.19315,"2,3-diaminopropanoic acid"
427,IJKWEHCJBZGOAD,"InChI=1S/C21H28N8O8/c22-14-1-2-27(15-5-10(32)12(7-30)36-15)21(35)26(14)3-4-28-19(34)17-18(25-20(28)23)29(9-24-17)16-6-11(33)13(8-31)37-16/h1-2,9-13,15-16,22,30-33H,3-8H2,(H2,23,25)",N=c1ccn(C2CC(O)C(CO)O2)c(=O)n1CCn1c(=N)[nH]c2c(ncn2C2CC(O)C(CO)O2)c1=O,N=c1ccn(C2CC(O)C(CO)O2)c(=O)n1CCn1c(N)nc2c(ncn2C2CC(O)C(CO)O2)c1=O,sirius,559.1651524085652,1.4098167,1-DC-DG-E
433,MVURHKFCLQXZBX,"InChI=1S/C20H18N2O6/c23-8-14-17(25)18(26)19(27)20(28-14)9-1-2-10-11-5-6-21-12-3-4-15(24)22(16(11)12)13(10)7-9/h1-7,14,17-20,23,25-27H,8H2",O=c1ccc2nccc3c4ccc(C5OC(CO)C(O)C(O)C5O)cc4n1c23,O=c1ccc2nccc3c4ccc(C5OC(CO)C(O)C(O)C5O)cc4n1c23,sirius,421.0772208458015,1.4135417,"13-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-1,6-diazatetracyclo[7.6.1.0⁵,¹⁶.0¹⁰,¹⁵]hexadeca-3,5(16),6,8,10,12,14-heptaen-2-one"
451,COLNVLDHVKWLRT,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)",NC(Cc1ccccc1)C(=O)O,NC(Cc1ccccc1)C(=O)O,sirius,166.08534687905066,1.5210055,L-Phe
479,FAVRCIXPIVJIPN,"InChI=1S/C15H21NO7/c17-7-11-12(18)13(19)15(22,23-11)8-16-10(14(20)21)6-9-4-2-1-3-5-9/h1-5,10-13,16-19,22H,6-8H2,(H,20,21)",O=C(O)C(Cc1ccccc1)NCC1(O)OC(CO)C(O)C1O,O=C(O)C(Cc1ccccc1)NCC1(O)OC(CO)C(O)C1O,sirius:suspect,310.12738354091016,1.6601806,N-(1-Deoxy-1-Fructosyl)Phenylalanine
480,FAVRCIXPIVJIPN,"InChI=1S/C15H21NO7/c17-7-11-12(18)13(19)15(22,23-11)8-16-10(14(20)21)6-9-4-2-1-3-5-9/h1-5,10-13,16-19,22H,6-8H2,(H,20,21)",O=C(O)C(Cc1ccccc1)NCC1(O)OC(CO)C(O)C1O,O=C(O)C(Cc1ccccc1)NCC1(O)OC(CO)C(O)C1O,gnps:sirius,328.1377112071674,1.6647304,N-(1-Deoxy-1-Fructosyl)Phenylalanine
486,BHHGXPLMPWCGHP,"InChI=1S/C8H11N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6-7,9H2",NCCc1ccccc1,NCCc1ccccc1,sirius,122.09549276229912,1.7188028,Phenethylamine
539,QIVBCDIJIAJPQS,"""InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1""",N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,NC(Cc1c[nH]c2ccccc12)C(=O)O,gnps:sirius,205.096084343078,2.202922,L-tryptophan
