row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mots_18102024_Foodomics_CSF1_S46.mzML Peak area,Mots_18102024_Foodomics_CSF1_S47.mzML Peak area,Mots_18102024_Foodomics_CSF1_S48.mzML Peak area,Mots_18102024_Foodomics_CSF2_S49.mzML Peak area,Mots_18102024_Foodomics_CSF2_S50.mzML Peak area,Mots_18102024_Foodomics_CSF2_S51.mzML Peak area,
2,173.9835760509043,0.5315167,,,,,,,,,,,100.71839,139.90636,13.461967,266.96863,60.678097,276.364,
8,413.2114558214625,0.60681665,,,,16,,,,,,,3455.6,3510.1128,3446.824,2598.6187,2517.1528,2558.9526,
13,232.9981867256641,0.610475,,,,16,,,,,,,541.12213,516.2232,524.53534,516.2201,528.8201,529.7415,
17,300.9729311127211,0.61168057,,,,16,,,,,,,424.37735,404.94534,412.92752,392.02765,382.5466,384.75464,
48,247.01375651415444,0.6184861,,,,16,,,,,,,1565.3445,1560.4723,1565.7368,1543.8478,1555.7174,1558.892,
49,382.9269693386913,0.618475,,,,16,,,,,,,783.6819,774.4076,769.76965,702.262,695.7061,699.2626,
61,414.9530148423025,0.6197361,,,,16,,,,,,,271.24222,278.8209,274.4612,246.29636,251.14412,253.8731,
69,383.2009353074496,0.62156665,,,,16,,,,,,,613.598,612.1985,614.3536,401.37344,384.55084,379.14902,
70,251.15900545559887,0.62158054,,,,16,,,,,,,9299.93,9285.27,9042.665,7078.756,6829.5767,6920.927,
71,182.96155843885916,0.6221972,,,,16,,,,,,,263.10617,265.7072,261.34888,256.23425,252.58916,269.17065,
80,233.14848822478265,0.62591106,,,,,,,,,,,262.775,270.44592,266.89633,193.39456,183.0981,187.30508,
86,221.1485150884349,0.6314778,,,,16,,,,,,,751.811,748.78534,724.1657,610.6892,606.98773,602.4041,
92,274.1384688581283,0.6370334,,,,16,,,,,,,1758.1007,1752.4835,1745.2716,1193.2682,1156.8362,1154.4841,
96,265.1612148504386,0.64376944,,,,11,,,,,,,206.06235,204.85034,193.42413,101.14588,101.93529,155.29552,
98,235.16411785360808,0.6456167,,,,,,,,,,,163.5926,175.02367,153.09363,292.15924,278.54697,290.44586,
99,265.1470066415986,0.6486694,,,,11,,,,,,,178.67258,98.55281,194.93504,168.3533,159.55702,177.54846,
100,309.16424955563235,0.65231663,,,,0,,,,,,,96.77649,102.08241,89.47771,84.451706,80.33908,72.74199,
101,295.1486345511651,0.65291387,,,,0,,,,,,,148.35341,155.06573,150.33218,123.730606,119.90387,108.33664,
114,518.8064199739969,0.6667111,,,,17,,,,,,,152.6994,153.16972,159.50949,151.54443,157.70987,168.29533,
124,320.86501392346855,0.6685083,,,,17,,,,,,,1053.09,986.8836,1037.9458,1058.1567,1097.3715,1140.701,
137,488.78739477861194,0.67448884,,,,17,,,,,,,366.6681,369.42783,381.30652,441.57565,456.83136,480.79083,
160,526.7556382154544,0.68782777,,,,18,0,[2M+Na]+,,2,160;166,251.88303,329.08633,306.16333,320.94302,220.66574,193.40244,215.13678,
166,290.84600226272534,0.68965834,,,,18,0,[M+K]+,,2,160;166,251.88303,3042.3862,3089.162,3061.174,4009.1765,3932.006,3980.0828,
170,458.76833529435567,0.6902695,,,,18,,,,,,,997.9489,1042.0989,999.66095,1406.4803,1386.9175,1399.7759,
174,542.7295803212367,0.69088054,,,,18,,,,,,,1222.9167,1275.3765,1245.1276,1826.275,1798.6289,1794.8896,
176,374.80716448999874,0.6914889,,,,18,,,,,,,360.4189,376.46188,340.98993,479.7943,468.4091,476.1009,
179,544.728008827921,0.6920944,,,,18,,,,,,,658.08594,683.73663,661.4023,975.886,965.3234,954.5346,
185,626.690713589691,0.6927083,,,,18,,,,,,,235.10281,233.67204,235.02116,340.13535,329.44482,338.79776,
226,465.03912883272636,0.72696394,,,,3,,,,,,,736.0161,797.8719,763.65955,356.92944,360.84122,362.89044,
230,221.04108065077557,0.7378528,,,,20,,,,,,,5950.91,5915.859,5736.595,2593.8464,2569.1643,2543.2715,
235,203.0436963185781,0.74100834,,,,20,,,,,,,2120.289,1993.817,1956.9049,1361.9586,1317.7432,1353.2012,
240,383.08702894318844,0.7439361,,,,20,,,,,,,4336.243,4328.518,4361.5903,2539.2073,2479.8584,2553.062,
241,381.0778868761008,0.744575,,,,20,,,,,,,24318.457,24451.959,24459.605,10527.14,10016.944,10131.318,
244,455.1145006050461,0.7457972,,,,20,,,,,,,1878.5387,1877.9191,1897.1564,759.7453,789.83496,786.8259,
247,543.1304441293132,0.74881387,,,,20,,,,,,,4461.026,4456.45,4486.6343,2429.5613,2361.3982,2418.2698,
250,104.1027905487204,0.75126106,,,,20,,,,,,,5473.617,5434.1235,5477.3765,4696.2446,4710.2188,4663.595,
251,365.08319896226317,0.75132775,,,,20,,,,,,,560.7045,622.0709,611.0111,171.12259,305.79022,368.4113,
260,705.1828553486162,0.7605694,,,,20,,,,,,,861.7724,853.515,875.5965,561.96643,568.1839,570.1118,
