formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C15H30N6O6	[M + Na]+	C15H30N6NaO6+	Amino acids and Peptides	0.928	Small peptides	0.755	Tripeptides	0.524	Organic acids and derivatives	0.948	Carboxylic acids and derivatives	0.935	Amino acids, peptides, and analogues	0.936	Peptides	0.827	Peptides	0.827	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Hydroxy fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	413.211	36	0.607	816699674800754389	816699015158340837	816699015154146532	8	
1	C6H11O5P	[M + K]+	C6H11KO5P+	Fatty acids	0.822	Fatty Acids and Conjugates	0.690	Halogenated fatty acids	0.026	Lipids and lipid-like molecules	0.716	Fatty Acyls	0.620					Fatty Acyls	0.620	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	232.998	37	0.611	816699694086171795	816699015271587051	816699015267392746	13	
1	C12H6O7	[M + K]+	C12H6KO7+	Shikimates and Phenylpropanoids	0.614	Naphthalenes	0.461	Naphthoquinones	0.535	Benzenoids	0.981	Phenols	0.568	1-hydroxy-2-unsubstituted benzenoids	0.508			1-hydroxy-2-unsubstituted benzenoids	0.508	Organic compounds; Organoheterocyclic compounds; Pyrans; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	300.973	37	0.612	816699674683313766	816699015409999097	816699015405804792	17	
1	C7H13O5P	[M + K]+	C7H13KO5P+	Fatty acids	0.911	Fatty Acids and Conjugates	0.720	Halogenated fatty acids	0.014	Lipids and lipid-like molecules	0.548							Lipids and lipid-like molecules	0.548	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	247.014	37	0.618	816699701359097985	816699015586159871	816699015586159870	48	
1	C12H8O14	[M + K]+	C12H8KO14+	Shikimates and Phenylpropanoids	0.954	Phenolic acids (C6-C1)	0.967	Simple phenolic acids	0.525	Benzenoids	0.814	Benzene and substituted derivatives	0.539	Benzoic acids and derivatives	0.552	Hydroxybenzoic acid derivatives	0.561	Hydroxybenzoic acid derivatives	0.561	Organic compounds; Alcohols and polyols; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acids; Hydroxybenzoic acid derivatives; Benzene and substituted derivatives; Polyols; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	414.953	37	0.620	816699724973037321	816699015875566861	816699015875566860	61	
1	C15H30N2O9	[M + H]+	C15H31N2O9+	Carbohydrates	0.999	Aminosugars and aminoglycosides	0.921	Amino cyclitols	0.729	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.960	Aminosaccharides	0.826	2-deoxystreptamine aminoglycosides	0.662	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Monoalkylamines; Carboxylic acids; Cyclic alcohols and derivatives; Monosaccharides; Acetals; Secondary alcohols; Aminocyclitol glycosides; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Dialkylamines; Polyols; Amines; Secondary amines; Alkanolamines; Cyclitols and derivatives; Aminocyclitols and derivatives; Cyclohexanols; Cyclohexylamines; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	383.201	37	0.621	816699680601479504	816699015988813074	816699015988813073	69	
1	C10H22N2O5	[M + H]+	C10H23N2O5+	Amino acids and Peptides	0.803	Small peptides	0.718	Aminoacids	0.347	Organic acids and derivatives	0.973	Carboxylic acids and derivatives	0.973	Amino acids, peptides, and analogues	0.765	Amino acids and derivatives	0.763	Amino acids	0.821	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Primary amines; Alkanolamines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	251.159	37	0.621	816699674142248081	816699016114642200	816699016110447895	70	
1	C9H24N2OSi2	[M + H]+	C9H25N2OSi2+	Alkaloids	0.455	Pseudoalkaloids (transamidation)	0.219	Polyamines	0.103	Organic nitrogen compounds	0.996	Organonitrogen compounds	0.991	Amines	0.880	Primary amines	0.875	Monoalkylamines	0.892	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	233.148	38	0.626	816699676574946003	816699016504712501	816699016504712500	80	
1	C7H18N5O3	[M + H]+	C7H19N5O3+	Amino acids and Peptides	0.799	Small peptides	0.871	Aminoacids	0.807	Organic acids and derivatives	0.967	Carboxylic acids and derivatives	0.961	Amino acids, peptides, and analogues	0.829	Amino acids and derivatives	0.826	Amino acids	0.740	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	221.149	38	0.632	816699675127910424	816699016706039123	816699016701844817	86	
1	C11H23O6	[M + Na]+	C11H23NaO6+	Fatty acids	0.437	Fatty acyl glycosides	0.545	Fatty acyl glycosides of mono- and disaccharides	0.523	Lipids and lipid-like molecules	0.698	Fatty Acyls	0.665	Fatty acyl glycosides	0.502			Fatty acyl glycosides	0.502	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	274.138	38	0.637	816699700352464575	816699017012223331	816699017012223330	92	
1	C8H20N6O4	[M + H]+	C8H21N6O4+	Alkaloids	0.464	Pseudoalkaloids (transamidation)	0.223	Imidazole alkaloids	0.154	Organoheterocyclic compounds	0.908	Azoles	0.611	Imidazoles	0.717	Substituted imidazoles	0.749	N-substituted imidazoles	0.696	Organic compounds; Organoheterocyclic compounds; Imidazoles; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic nitro compounds; Organic oxoazanium compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.161	39	0.644	816699680551147820	816699017121275240	816699017117080935	96	
1	C10H22N2O4	[M + H]+	C10H23N2O4+	Amino acids and Peptides	0.927	Small peptides	0.932	Aminoacids	0.713	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.926	Amino acids and derivatives	0.925	Amino acids	0.943	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	235.164	39	0.646	816699675287294093	816699017238715762	816699017238715761	98	
1	C10H16BN5O3	[M + H]+	C10H17BN5O3+	Amino acids and Peptides	0.307	Small peptides	0.487	Pinane monoterpenoids	0.199	Organic acids and derivatives	0.799	Carboxylic acids and derivatives	0.394	Amino acids, peptides, and analogues	0.544	Amino acids and derivatives	0.541	Amino acids and derivatives	0.541	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Imidazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Organometallic compounds; Monoalkylamines; Boronic acid derivatives; Organometalloid compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Organoboron compounds; Organic salts; Organic metalloid salts; Organic metal salts; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Alkylboranes; Monoalkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.147	39	0.649	816699678978283206	816699017461013885	816699017461013884	99	
1	C12H24N2O7	[M + H]+	C12H25N2O7+	Amino acids and Peptides	0.790	Aminosugars and aminoglycosides	0.707	Aminoacids	0.664	Organic acids and derivatives	0.968	Carboxylic acids and derivatives	0.971	Amino acids, peptides, and analogues	0.957	Amino acids and derivatives	0.958	Alpha amino acids	0.895	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	309.164	39	0.652	816699697651331591	816699017586843012	816699017586843011	100	
1	C11H22N2O7	[M + H]+	C11H23N2O7+	Amino acids and Peptides	0.960	Small peptides	0.959	Aminoacids	0.494	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.955	Amino acids and derivatives	0.954	N-acyl-alpha amino acids	0.557	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Alpha amino acids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	295.149	39	0.653	816699695520624393	816699017704283529	816699017700089224	101	
1	C12H11Cl7O5	[M + K]+	C12H11Cl7KO5+	Polyketides	0.717	Phenolic acids (C6-C1)	0.375	Simple phenolic acids	0.250	Benzenoids	0.774	Benzene and substituted derivatives	0.771	Benzoic acids and derivatives	0.422	Halobenzoic acids and derivatives	0.515	3-halobenzoic acids and derivatives	0.588	Organic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Alkyl halides; Vinyl halides; Halobenzoic acids and derivatives; 3-halobenzoic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	518.806	40	0.667	816699677397029948	816699017876250000	816699017872055695	114	
1	C5H3N2O3PS4	[M + Na]+	C5H3N2NaO3PS4+	Alkaloids	0.334	Histidine alkaloids	0.186	Imidazole alkaloids	0.187	Organoheterocyclic compounds	0.995	Azoles	0.854	Thiazoles	0.502			Thiazoles	0.502	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	320.865	40	0.669	816699682283395845	816699017981107605	816699017981107604	124	
1	C8H7Cl8O6PS	[M + H]+	C8H8Cl8O6PS+	Shikimates and Phenylpropanoids	0.119	Phenolic acids (C6-C1)	0.034	Simple phenolic acids	0.062	Benzenoids	0.921	Benzene and substituted derivatives	0.922	Halobenzenes	0.947	Chlorobenzenes	0.941	Dichlorobenzenes	0.704	Organic compounds; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Organic thiophosphoric acids and derivatives; Organochlorides; Thiophosphoric acid esters; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	542.730	41	0.691	816699695990386596	816699018815774129	816699018811579824	174	
