formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
3	C17H28N6O6	[M + H]+	C17H29N6O6+	Amino acids and Peptides	0.719	Small peptides	0.669	Dipeptides	0.248	Organic acids and derivatives	0.890	Carboxylic acids and derivatives	0.731	Amino acids, peptides, and analogues	0.600	Amino acids and derivatives	0.589	Amino acids and derivatives	0.589	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	413.211	36	0.607	816699674800754391	816699015158340837	816699015154146532	8	
1	C6H11O5P	[M + K]+	C6H11KO5P+	Fatty acids	0.822	Fatty Acids and Conjugates	0.690	Halogenated fatty acids	0.026	Lipids and lipid-like molecules	0.716	Fatty Acyls	0.620					Fatty Acyls	0.620	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	232.998	37	0.611	816699694086171795	816699015271587051	816699015267392746	13	
1	C12H6O7	[M + K]+	C12H6KO7+	Shikimates and Phenylpropanoids	0.614	Naphthalenes	0.461	Naphthoquinones	0.535	Benzenoids	0.981	Phenols	0.568	1-hydroxy-2-unsubstituted benzenoids	0.508			1-hydroxy-2-unsubstituted benzenoids	0.508	Organic compounds; Organoheterocyclic compounds; Pyrans; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	300.973	37	0.612	816699674683313766	816699015409999097	816699015405804792	17	
1	C7H13O5P	[M + K]+	C7H13KO5P+	Fatty acids	0.911	Fatty Acids and Conjugates	0.720	Halogenated fatty acids	0.014	Lipids and lipid-like molecules	0.548							Lipids and lipid-like molecules	0.548	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	247.014	37	0.618	816699701359097985	816699015586159871	816699015586159870	48	
10	C9H13Cl3N2O2S3	[M + H]+	C9H14Cl3N2O2S3+	Fatty acids	0.230	Oligopeptides	0.383	Primary amides	0.056	Organic acids and derivatives	0.984	Carboxylic acids and derivatives	0.937	Carboxylic acid derivatives	0.896	Carboxylic acid amides	0.822	Secondary carboxylic acid amides	0.536	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Organic disulfides; Alkyl halides; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	382.927	37	0.618	816699732942216827	816699015745543431	816699015741349126	49	
2	C13H12O9S2	[M + K]+	C13H12KO9S2+	Polyketides	0.290	Phenolic acids (C6-C1)	0.439	Simple phenolic acids	0.356	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.941	Dicarboxylic acids and derivatives	0.506			Dicarboxylic acids and derivatives	0.506	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	414.953	37	0.620	816699724973037322	816699015875566861	816699015875566860	61	
1	C15H30N2O9	[M + H]+	C15H31N2O9+	Carbohydrates	0.999	Aminosugars and aminoglycosides	0.921	Amino cyclitols	0.729	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.960	Aminosaccharides	0.826	2-deoxystreptamine aminoglycosides	0.662	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Monoalkylamines; Carboxylic acids; Cyclic alcohols and derivatives; Monosaccharides; Acetals; Secondary alcohols; Aminocyclitol glycosides; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Dialkylamines; Polyols; Amines; Secondary amines; Alkanolamines; Cyclitols and derivatives; Aminocyclitols and derivatives; Cyclohexanols; Cyclohexylamines; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	383.201	37	0.621	816699680601479504	816699015988813074	816699015988813073	69	
1	C10H22N2O5	[M + H]+	C10H23N2O5+	Amino acids and Peptides	0.803	Small peptides	0.718	Aminoacids	0.347	Organic acids and derivatives	0.973	Carboxylic acids and derivatives	0.973	Amino acids, peptides, and analogues	0.765	Amino acids and derivatives	0.763	Amino acids	0.821	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Primary amines; Alkanolamines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	251.159	37	0.621	816699674142248081	816699016114642200	816699016110447895	70	
1	C9H24N2OSi2	[M + H]+	C9H25N2OSi2+	Alkaloids	0.455	Pseudoalkaloids (transamidation)	0.219	Polyamines	0.103	Organic nitrogen compounds	0.996	Organonitrogen compounds	0.991	Amines	0.880	Primary amines	0.875	Monoalkylamines	0.892	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	233.148	38	0.626	816699676574946003	816699016504712501	816699016504712500	80	
2	C9H20N2O4	[M + H]+	C9H21N2O4+	Amino acids and Peptides	0.950	Small peptides	0.964	Aminoacids	0.753	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.951	Amino acids and derivatives	0.951	Amino acids	0.875	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	221.149	38	0.632	816699675127910425	816699016706039123	816699016701844817	86	
2	C11H19N3O5	[M + H]+	C11H20N3O5+	Carbohydrates	0.861	Nucleosides	0.597	Pyrimidine nucleosides	0.306	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.906	Glycosyl compounds	0.704	Glycosyl compounds	0.704	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Monosaccharides; Secondary alcohols; Glycosyl compounds; Polyols; Amines; Primary amines; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	274.138	38	0.637	816699700352464576	816699017012223331	816699017012223330	92	
2	C11H22N4O2	[M + Na]+	C11H22N4NaO2+	Alkaloids	0.573	Small peptides	0.684	Dipeptides	0.316	Organic acids and derivatives	0.688	Carboxylic acids and derivatives	0.585					Carboxylic acids and derivatives	0.585	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.161	39	0.644	816699680551147821	816699017121275240	816699017117080935	96	
1	C10H22N2O4	[M + H]+	C10H23N2O4+	Amino acids and Peptides	0.927	Small peptides	0.932	Aminoacids	0.713	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.926	Amino acids and derivatives	0.925	Amino acids	0.943	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	235.164	39	0.646	816699675287294093	816699017238715762	816699017238715761	98	
4	C13H20N4S	[M + H]+	C13H21N4S+	Alkaloids	0.543	Histidine alkaloids	0.230	Imidazole alkaloids	0.231	Organoheterocyclic compounds	0.971	Diazines	0.549	Pyrimidines and pyrimidine derivatives	0.560			Pyrimidines and pyrimidine derivatives	0.560	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Thioethers; Diazines; Sulfenyl compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	265.147	39	0.649	816699678978283209	816699017461013885	816699017461013884	99	
1	C12H24N2O7	[M + H]+	C12H25N2O7+	Amino acids and Peptides	0.790	Aminosugars and aminoglycosides	0.707	Aminoacids	0.664	Organic acids and derivatives	0.968	Carboxylic acids and derivatives	0.971	Amino acids, peptides, and analogues	0.957	Amino acids and derivatives	0.958	Alpha amino acids	0.895	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	309.164	39	0.652	816699697651331591	816699017586843012	816699017586843011	100	
2	C12H18N6O3	[M + H]+	C12H19N6O3+	Carbohydrates	0.966	Nucleosides	0.980	Purine nucleosides	0.983	Organic acids and derivatives	0.959	Carboxylic acids and derivatives	0.943	Amino acids, peptides, and analogues	0.941	Amino acids and derivatives	0.941	Alpha amino acids	0.833	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Aminopyrimidines and derivatives; Diazines; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Alpha amino acids; Amines; Primary amines; 6-aminopurines; 6-alkylaminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	295.149	39	0.653	816699695520624394	816699017704283529	816699017700089224	101	
3	C15H7Cl7O4	[M + Na]+	C15H7Cl7NaO4+	Polyketides	0.724	Coumarins	0.187	Anthraquinones and anthrones	0.181	Benzenoids	0.977	Benzene and substituted derivatives	0.610	Benzoic acids and derivatives	0.488	Halobenzoic acids and derivatives	0.492	2-halobenzoic acids and derivatives	0.576	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Vinyl halides; 2-halobenzoic acids and derivatives; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	518.806	40	0.667	816699677397029950	816699017876250000	816699017872055695	114	
6	C13H20FN4O7PS	[M + K]+	C13H20FKN4O7PS+	Carbohydrates	0.959	Nucleosides	0.942	Purine nucleotides	0.103	Organic acids and derivatives	0.941	Carboxylic acids and derivatives	0.641	Amino acids, peptides, and analogues	0.668	Amino acids and derivatives	0.669	Amino acids and derivatives	0.669	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Alkyl fluorides; Monocarboxylic acids and derivatives; Diazines; Organofluorides; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Alkyl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 5'-deoxyribonucleosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	465.039	44	0.727	816699683919174994	816699019931459018	816699019931459016	226	
1	C5H12N2O4	[M + K]+	C5H12KN2O4+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.998	Amino acids and derivatives	0.998	Alpha amino acids	0.976	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	203.044	44	0.741	816699691473119319	816699020342500823	816699020342500822	235	
1	C10H19NO7	[M + H]+	C10H20NO7+	Carbohydrates	0.908	Aminosugars and aminoglycosides	0.907	Aminosugars	0.919	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.916	Monosaccharides	0.775	Monosaccharides	0.775	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Polyols; Amines; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.122	46	0.770	816699710905337529	816699021835673142	816699021835673141	270	
1	C8H8N6O5	[M + Na]+	C8H8N6NaO5+	Alkaloids	0.500	Small peptides	0.325	Purine alkaloids	0.337	Organic 1,3-dipolar compounds	0.986	Allyl-type 1,3-dipolar organic compounds	0.987	Organic nitro compounds	0.988	C-nitro compounds	0.984	Nitroaromatic compounds	0.975	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Organic nitro compounds; Organic oxoazanium compounds; Substituted imidazoles; N-substituted imidazoles; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	291.047	48	0.802	816699689988334940	816699022791974563	816699022791974562	301	
1	C5H12O11	[M + H]+	C5H13O11+	Carbohydrates	0.926	Saccharides	0.915	Monosaccharides	0.571	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.968	Monosaccharides	0.893	Monosaccharides	0.893	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Carbonyl compounds; Sugar alcohols; Polyols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	249.042	50	0.826	816699701325543516	816699023014272692	816699023010078387	306	
2	C5H5N5	[M + H]+	C5H6N5+	Alkaloids	0.996	Pseudoalkaloids (transamidation)	0.633	Purine alkaloids	0.608	Organoheterocyclic compounds	1.000	Imidazopyrimidines	0.977	Purines and purine derivatives	0.978	6-aminopurines	0.897	6-aminopurines	0.897	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organonitrogen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; 6-aminopurines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	136.061	51	0.855	816699681981405871	816699023232376513	816699023232376512	287	
2	C11H22O11S2	[M + H]+	C11H23O11S2+	Carbohydrates	0.321	Amino acid glycosides	0.876	Glucosinolates	0.569	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.980	Monosaccharides	0.952	Hexoses	0.832	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic sulfuric acids and derivatives; Thioacetals; Hexoses; Monosaccharides; Secondary alcohols; Oxanes; Glycosyl compounds; Monothioacetals; Thioglycosides; Polyols; Sulfenyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	395.066	52	0.870	816699694866312624	816699023370788559	816699023370788558	317	
3	C14H20O11S	[M + H]+	C14H21O11S+	Shikimates and Phenylpropanoids	0.337	Amino acid glycosides	0.813	Glucosinolates	0.184	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.974	Monosaccharides	0.954	Hexoses	0.694	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic sulfuric acids and derivatives; Thioacetals; Hexoses; Monosaccharides; Secondary alcohols; Oxanes; Glycosyl compounds; Monothioacetals; Thioglycosides; Benzene and substituted derivatives; Polyols; Benzenoids; Sulfenyl compounds; Sulfuric acid esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	397.076	52	0.872	816699717695917927	816699023609863896	816699023609863895	312	
2	C5H5N5O	[M + H]+	C5H6N5O+	Alkaloids	0.983	Pseudoalkaloids (transamidation)	0.883	Purine alkaloids	0.962	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.881	Purines and purine derivatives	0.651			Purines and purine derivatives	0.651	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	152.056	53	0.877	816699710880171678	816699023966379750	816699023962185445	315	
2	C11H21NO7	[M + H]+	C11H22NO7+	Carbohydrates	0.537	Aminosugars and aminoglycosides	0.392	Aminosugars	0.600	Organic acids and derivatives	0.989	Carboxylic acids and derivatives	0.992	Amino acids, peptides, and analogues	0.960	Amino acids and derivatives	0.960	Alpha amino acids	0.842	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; C-glycosyl compounds; Dialkylamines; Polyols; Alpha amino acids; Amines; Secondary amines; Alkanolamines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	280.137	54	0.902	816699691242432507	816699024645857017	816699024641662712	325	
