structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	3	0.017	0.017	-404.776		0.076	17.814	C17H28N6O6	[M + H]+	C17H29N6O6+	QLPYYTDOUQNJGQ	InChI=1S/C17H28N6O6/c18-6-2-1-3-12(17(28)29)22-16(27)13(7-10-8-20-9-21-10)23-15(26)11(19)4-5-14(24)25/h8-9,11-13H,1-7,18-19H2,(H,20,21)(H,22,27)(H,23,26)(H,24,25)(H,28,29)	Glutamylhistidyllysine	C1=C(NC=N1)CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CCC(=O)O)N	-6.800	17907398;145455395	CHEBI:(162963);PUBCHEM:(17907398 145455395)	34	413.211	36	0.607	816699674800754391	816699015158340837	816699015154146532	8	
1	1	0.114	0.114	-81.704		0.996	51.965	C6H11O5P	[M + K]+	C6H11KO5P+	HRTGCDRCJQKACR	InChI=1S/C6H11O5P/c1-5(6(7)9-2)12(8,10-3)11-4/h1H2,2-4H3	Methyl 2-(dimethoxyphosphinyl)acrylate	COC(=O)C(=C)P(=O)(OC)OC	0.000	3016938	NORMAN:(NS00033255);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(3016938);DSSTox:(DTXSID00203675)	137506324482	232.998	37	0.611	816699694086171795	816699015271587051	816699015267392746	13	
1	1	0.036	0.036	-128.477		0.997	21.443	C12H6O7	[M + K]+	C12H6KO7+	BAVYXIKCCJMRCT	InChI=1S/C12H6O7/c13-6-1-2-7(14)10(5-6)18-19-12-9(16)4-3-8(15)11(12)17/h1-5,17H	2-(3,6-Dioxocyclohexa-1,4-dien-1-yl)peroxy-3-hydroxycyclohexa-2,5-diene-1,4-dione	C1=CC(=O)C(=CC1=O)OOC2=C(C(=O)C=CC2=O)O	0.200	153523186	PUBCHEM:(153523186)	2	300.973	37	0.612	816699674683313766	816699015409999097	816699015405804792	17	
1	1	0.457	0.457	-62.494		0.993	59.232	C7H13O5P	[M + K]+	C7H13KO5P+	SHKJCMMPSWPETH	InChI=1S/C7H13O5P/c1-2-3-7(10)13(11,12)5-4-6(8)9/h2-3,7,10H,4-5H2,1H3,(H,8,9)(H,11,12)	3-[Hydroxy(1-hydroxybut-2-enyl)phosphoryl]propanoic acid	CC=CC(O)P(=O)(CCC(=O)O)O	-1.300	5866391;3580242	PUBCHEM:(5866391 3580242)	2	247.014	37	0.618	816699701359097985	816699015586159871	816699015586159870	48	
1	10	-Infinity	-Infinity	-177.990		0.004	-0.516	C9H13Cl3N2O2S3	[M + H]+	C9H14Cl3N2O2S3+	RAEHOEMDNHRNRN	InChI=1S/C9H13Cl3N2O2S3/c1-8(2)6(17-4-5-18-8)13-16-7(15)14(3)19-9(10,11)12/h4-5H2,1-3H3	[(3,3-dimethyl-1,4-dithian-2-ylidene)amino] N-methyl-N-(trichloromethylsulfanyl)carbamate	CC1(C(=NOC(=O)N(C)SC(Cl)(Cl)Cl)SCCS1)C	3.995	54256095;24837726	PUBCHEM:(54256095 24837726)	2	382.927	37	0.618	816699732942216827	816699015745543431	816699015741349126	49	
1	2	-Infinity	-Infinity	-201.493		0.002	51.170	C13H12O9S2	[M + K]+	C13H12KO9S2+	AECNNBZTPKJOAJ	InChI=1S/C13H12O9S2/c1-6(2)22-12-10(14)8-4-3-7(23(16,17)18)5-9(8)11(15)13(12)24(19,20)21/h3-6H,1-2H3,(H,16,17,18)(H,19,20,21)	1,4-Dioxo-3-propan-2-yloxynaphthalene-2,7-disulfonic acid	CC(C)OC1=C(C(=O)C2=C(C1=O)C=CC(=C2)S(=O)(=O)O)S(=O)(=O)O	0.700	57186448	PUBCHEM:(57186448)	2	414.953	37	0.620	816699724973037322	816699015875566861	816699015875566860	61	
1	1	0.181	0.181	-229.133		1.000	33.191	C15H30N2O9	[M + H]+	C15H31N2O9+	YCQXZZSQIXBIFG	InChI=1S/C15H30N2O9/c1-16-8-11(21)10(20)6(4-18)24-15(8)26-13-7(5-19)25-14(23-3)9(17-2)12(13)22/h6-22H,4-5H2,1-3H3	MeNH(-2d)Hex(?1-4)[MeNH(-2d)]Hex-O-Me	CNC1C(C(C(OC1OC2C(OC(C(C2O)NC)OC)CO)CO)O)O	-3.700	118477636	PUBCHEM:(118477636)	2	383.201	37	0.621	816699680601479504	816699015988813074	816699015988813073	69	
1	1	0.024	0.024	-197.265		1.000	29.799	C10H22N2O5	[M + H]+	C10H23N2O5+	CPHKJTZJSGQUER	InChI=1S/C10H22N2O5/c13-4-1-11(2-5-14)7-10(8-16)12(9-17)3-6-15/h7,13-17H,1-6,8-9H2	3-[bis(2-Hydroxyethyl)amino]-2-[(2-hydroxyethyl)(hydroxymethyl)amino]-2-propen-1-ol	C(CO)N(CCO)C=C(CO)N(CCO)CO	-2.800	50990675;3037060;166490	MESH:(3037060);PUBCHEM:(50990675 3037060 166490);DSSTox:(DTXSID101035615);PUBMED:(null)	137438953542	251.159	37	0.621	816699674142248081	816699016114642200	816699016110447895	70	
1	1	0.011	0.011	-199.069		0.096	5.283	C9H24N2OSi2	[M + H]+	C9H25N2OSi2+	OZSLNVMOKRIJKG	InChI=1S/C9H24N2OSi2/c1-10(13(3,4)5)9(12)11(2)14(6,7)8/h1-8H3	1,3-Dimethyl-1,3-bis(trimethylsilyl)urea	CN(C(=O)N(C)[Si](C)(C)C)[Si](C)(C)C	3.051	12479153	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(12479153);DSSTox:(DTXSID20499811)	137506062338	233.148	38	0.626	816699676574946003	816699016504712501	816699016504712500	80	
1	2	0.067	0.067	-230.032		0.113	13.554	C9H20N2O4	[M + H]+	C9H21N2O4+	YACLTUWSWMFZMM	InChI=1S/C9H20N2O4/c10-8(9(14)15)3-1-2-4-11-5-7(13)6-12/h7-8,11-13H,1-6,10H2,(H,14,15)	2-Amino-6-(2,3-dihydroxypropylamino)hexanoic acid	C(CCNCC(CO)O)CC(C(=O)O)N	-4.000	13895083;13895084	MESH:(13895084);PUBCHEM:(13895083 13895084);DSSTox:(DTXSID401008572);PUBMED:(null)	137438953542	221.149	38	0.632	816699675127910425	816699016706039123	816699016701844817	86	
