formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C15H30N6O6	[M + Na]+	C15H30N6NaO6+	Amino acids and Peptides	0.928	Small peptides	0.755	Tripeptides	0.524	Organic acids and derivatives	0.948	Carboxylic acids and derivatives	0.935	Amino acids, peptides, and analogues	0.936	Peptides	0.827	Peptides	0.827	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Hydroxy fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	413.211	36	0.607	816974037128036615	816973399728025968	816973399723831663	8	
1	C6H11O5P	[M + K]+	C6H11KO5P+	Fatty acids	0.822	Fatty Acids and Conjugates	0.690	Halogenated fatty acids	0.026	Lipids and lipid-like molecules	0.716	Fatty Acyls	0.620					Fatty Acyls	0.620	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	232.998	37	0.611	816974022372471171	816973399870632309	816973399866438004	13	
1	C12H6O7	[M + K]+	C12H6KO7+	Shikimates and Phenylpropanoids	0.614	Naphthalenes	0.461	Naphthoquinones	0.535	Benzenoids	0.981	Phenols	0.568	1-hydroxy-2-unsubstituted benzenoids	0.508			1-hydroxy-2-unsubstituted benzenoids	0.508	Organic compounds; Organoheterocyclic compounds; Pyrans; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	300.973	37	0.612	816974031184706091	816973399983878522	816973399983878521	17	
1	C7H13O5P	[M + K]+	C7H13KO5P+	Fatty acids	0.911	Fatty Acids and Conjugates	0.720	Halogenated fatty acids	0.014	Lipids and lipid-like molecules	0.548							Lipids and lipid-like molecules	0.548	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	247.014	37	0.618	816974067574497519	816973400092930431	816973400088736126	48	
1	C12H8O14	[M + K]+	C12H8KO14+	Shikimates and Phenylpropanoids	0.954	Phenolic acids (C6-C1)	0.967	Simple phenolic acids	0.525	Benzenoids	0.814	Benzene and substituted derivatives	0.539	Benzoic acids and derivatives	0.552	Hydroxybenzoic acid derivatives	0.561	Hydroxybenzoic acid derivatives	0.561	Organic compounds; Alcohols and polyols; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acids; Hydroxybenzoic acid derivatives; Benzene and substituted derivatives; Polyols; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	414.953	37	0.620	816974084230080646	816973400281674121	816973400277479816	61	
1	C15H30N2O9	[M + H]+	C15H31N2O9+	Carbohydrates	0.999	Aminosugars and aminoglycosides	0.921	Amino cyclitols	0.729	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.960	Aminosaccharides	0.826	2-deoxystreptamine aminoglycosides	0.662	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Monoalkylamines; Carboxylic acids; Cyclic alcohols and derivatives; Monosaccharides; Acetals; Secondary alcohols; Aminocyclitol glycosides; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Dialkylamines; Polyols; Amines; Secondary amines; Alkanolamines; Cyclitols and derivatives; Aminocyclitols and derivatives; Cyclohexanols; Cyclohexylamines; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	383.201	37	0.621	816974035907493791	816973400361365902	816973400361365901	69	
1	C10H22N2O5	[M + H]+	C10H23N2O5+	Amino acids and Peptides	0.803	Small peptides	0.718	Aminoacids	0.347	Organic acids and derivatives	0.973	Carboxylic acids and derivatives	0.973	Amino acids, peptides, and analogues	0.765	Amino acids and derivatives	0.763	Amino acids	0.821	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Primary amines; Alkanolamines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	251.159	37	0.621	816974026235426191	816973400441057683	816973400436863378	70	
1	C9H24N2OSi2	[M + H]+	C9H25N2OSi2+	Alkaloids	0.455	Pseudoalkaloids (transamidation)	0.219	Polyamines	0.103	Organic nitrogen compounds	0.996	Organonitrogen compounds	0.991	Amines	0.880	Primary amines	0.875	Monoalkylamines	0.892	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	233.148	38	0.626	816974019008638261	816973400621412765	816973400621412764	80	
1	C7H18N5O3	[M + H]+	C7H19N5O3+	Amino acids and Peptides	0.799	Small peptides	0.871	Aminoacids	0.807	Organic acids and derivatives	0.967	Carboxylic acids and derivatives	0.961	Amino acids, peptides, and analogues	0.829	Amino acids and derivatives	0.826	Amino acids	0.740	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	221.149	38	0.632	816974026583553554	816973400717881762	816973400717881761	86	
1	C11H23O6	[M + Na]+	C11H23NaO6+	Fatty acids	0.437	Fatty acyl glycosides	0.545	Fatty acyl glycosides of mono- and disaccharides	0.523	Lipids and lipid-like molecules	0.698	Fatty Acyls	0.665	Fatty acyl glycosides	0.502			Fatty acyl glycosides	0.502	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	274.138	38	0.637	816974016911485481	816973400814350759	816973400810156454	92	
