CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
923	1440	1	0.7033	-0.001
1413	1440	1	0.7813	-37.695
911	1269	1	0.7742	-47.536
1192	1269	1	0.7428	-113.084
923	946	1	0.7505	107.080
946	1413	1	0.8402	-69.386
923	1043	1	0.8137	-113.084
980	1043	1	0.915	0.000
1043	1077	1	0.7819	-113.084
1043	1471	1	0.7023	75.388
980	1077	1	0.7616	-113.084
919	923	1	0.7006	-125.084
923	980	1	0.8104	-113.084
923	1413	1	0.8117	37.694
923	1471	1	0.7076	-37.695
911	1238	1	0.7101	9.005
972	1238	1	0.721	-0.000
1192	1238	1	0.7485	-56.542
1068	1074	1	0.9219	-0.059
1068	1095	1	0.9089	-0.307
1068	1145	1	0.8122	-56.542
1068	1146	1	0.8329	-56.602
886	911	1	0.7262	-56.542
911	929	1	0.7143	-56.542
911	1192	1	0.7188	65.547
1074	1188	1	0.9004	-113.450
1088	1188	1	0.8831	-112.952
1095	1188	1	0.9076	-113.202
1101	1188	1	0.8719	-112.789
1146	1188	1	0.8672	-56.908
1150	1188	1	0.8888	-56.598
1163	1188	1	0.8694	-56.308
1171	1188	1	0.9011	-56.549
1188	1196	1	0.9562	-0.243
1188	1200	1	0.9289	-0.474
1074	1171	1	0.9042	-56.901
1088	1171	1	0.867	-56.402
1095	1171	1	0.9136	-56.653
1101	1171	1	0.8591	-56.240
1145	1171	1	0.9119	-0.418
1146	1171	1	0.9601	-0.358
1150	1171	1	0.9879	-0.048
1163	1171	1	0.9478	0.241
1171	1222	1	0.873	0.418
1088	1200	1	0.9089	-113.425
1101	1200	1	0.9082	-113.263
1109	1200	1	0.8878	-113.229
1163	1200	1	0.8701	-56.781
1196	1200	1	0.966	-0.231
1074	1088	1	0.9071	-0.498
1074	1095	1	0.9828	-0.248
1074	1101	1	0.8862	-0.661
1074	1109	1	0.8715	-0.694
1074	1145	1	0.871	-56.482
1074	1146	1	0.9066	-56.543
1074	1150	1	0.9068	-56.853
980	1192	1	0.7568	169.625
980	1413	1	0.7443	150.778
1088	1109	1	0.964	-0.196
1095	1109	1	0.9125	-0.446
1101	1109	1	0.9725	-0.033
1109	1163	1	0.8764	-56.448
1109	1196	1	0.8799	-112.998
1088	1101	1	0.9797	-0.163
1095	1101	1	0.9248	-0.413
1101	1163	1	0.8967	-56.481
1101	1196	1	0.8699	-113.032
1088	1163	1	0.9047	-56.644
1146	1163	1	0.8942	-0.600
1150	1163	1	0.9421	-0.290
1163	1196	1	0.9021	-56.551
1145	1146	1	0.9562	-0.060
1145	1150	1	0.9205	-0.370
1145	1222	1	0.9061	0.000
1145	1413	1	0.771	-75.390
1095	1146	1	0.8955	-56.295
1146	1150	1	0.972	-0.310
1146	1222	1	0.8771	0.060
1150	1222	1	0.876	0.370
1088	1095	1	0.9431	0.250
1088	1150	1	0.8574	-56.354
1088	1196	1	0.9107	-113.194
1095	1196	1	0.883	-113.445
1150	1196	1	0.8496	-56.840
1095	1150	1	0.9123	-56.605
526	528	2	0.732	-1.003
526	717	2	0.8125	-0.985
527	717	2	0.7333	-18.011
526	527	2	0.9313	17.026
526	767	2	0.7066	-20.975
2904	3314	4	0.7747	-28.032
2921	3170	5	0.8967	0.000
3000	3170	5	0.9825	0.000
3170	3196	5	0.8321	-73.089
2921	3000	5	0.9093	0.000
3000	3196	5	0.8179	-73.089
49	69	6	0.8556	-0.274
1938	2954	7	0.8362	4.031
1976	2954	7	0.8983	34.042
2272	2954	7	0.7873	-15.995
2380	2954	7	0.8763	-13.979
2472	2954	7	0.8362	-11.964
2503	2954	7	0.9181	-13.979
2791	2954	7	0.8186	18.028
2954	2965	7	0.8394	-18.007
2954	3381	7	0.7961	-18.047
1840	2472	7	0.7466	31.006
1868	2472	7	0.8033	13.907
1901	2472	7	0.7958	31.001
1905	2472	7	0.8198	17.027
2270	2472	7	0.7585	105.043
2472	2754	7	0.9474	-0.000
2472	2872	7	0.9084	-31.042
2472	2965	7	0.752	-29.971
1818	2378	7	0.8177	35.037
1932	2378	7	0.9152	54.033
1791	2380	7	0.8947	15.993
1938	2380	7	0.8577	18.010
2364	2380	7	0.9362	17.080
2380	2503	7	0.9759	0.000
2380	2534	7	0.8348	-17.007
2380	2783	7	0.9662	-0.000
2380	2786	7	0.9231	-18.011
2380	2840	7	0.8466	-45.058
2380	3381	7	0.8469	-32.026
2218	2269	7	0.8395	2.014
2218	2496	7	0.7897	-1.005
2218	2505	7	0.8497	-0.001
2218	2624	7	0.8319	42.008
2218	2786	7	0.8054	74.034
2182	2721	7	0.936	-27.996
2655	2721	7	0.9849	0.289
2665	2721	7	0.9725	0.036
2674	2721	7	0.9851	282.042
2676	2721	7	0.9784	0.105
2700	2721	7	0.9859	-0.017
2721	2723	7	0.9846	-0.141
2721	3109	7	0.8849	-28.066
2721	3114	7	0.912	-28.108
2721	3472	7	0.8743	-56.040
1818	2786	7	0.8648	-0.984
1980	2786	7	0.8604	17.026
2364	2786	7	0.9598	-0.931
2370	2786	7	0.8709	-0.984
2503	2786	7	0.9116	-18.011
2534	2786	7	0.8604	-1.003
2783	2786	7	0.8929	-18.011
1976	2272	7	0.8003	50.037
2272	2783	7	0.8468	-2.016
2272	2840	7	0.7674	-47.073
2272	3381	7	0.8359	-34.042
2155	2190	7	0.752	-57.010
2190	2840	7	0.8004	26.963
2700	3468	7	0.882	-56.057
3109	3468	7	0.9104	-27.973
3456	3468	7	0.9592	0.058
3459	3468	7	0.9452	0.462
3462	3468	7	0.9537	0.134
3467	3468	7	0.9547	0.375
3468	3472	7	0.9831	-0.001
3468	3474	7	0.8903	-0.298
2182	2676	7	0.8624	-28.101
2655	2676	7	0.9744	0.185
2665	2676	7	0.9795	-0.069
2674	2676	7	0.9832	281.938
2676	2700	7	0.9768	0.122
2676	2723	7	0.9823	-0.036
2676	3114	7	0.9664	-28.003
2676	3462	7	0.8618	-56.069
2673	2754	7	0.871	-18.010
2673	3030	7	0.9515	-0.000
1901	2270	7	0.8455	-74.042
2155	2270	7	0.7965	-92.047
2191	2270	7	0.8619	-17.027
2269	2270	7	0.9568	-17.026
2099	2169	7	0.9652	-74.036
2099	2242	7	0.9101	-56.026
2099	2332	7	0.9185	-46.005
2099	2352	7	0.9354	-56.026
2099	2464	7	0.8748	-56.026
2099	2667	7	0.9907	18.011
2099	2754	7	0.9119	18.011
2099	3031	7	0.9892	0.000
2099	3449	7	0.9348	-55.562
2169	2332	7	0.8796	28.031
2332	2352	7	0.9849	-10.021
2332	2667	7	0.9327	64.016
2332	2872	7	0.9359	32.975
2332	3031	7	0.9042	46.005
2332	3449	7	0.8815	-9.557
2754	3030	7	0.902	18.010
1791	2503	7	0.8723	15.993
1791	2783	7	0.9153	15.993
2700	3472	7	0.8929	-56.058
3109	3472	7	0.8978	-27.974
3449	3472	7	0.8786	0.542
3456	3472	7	0.9582	0.058
3459	3472	7	0.9512	0.461
3462	3472	7	0.9639	0.133
3467	3472	7	0.9522	0.375
3472	3474	7	0.8825	-0.298
2242	2311	7	0.9183	-17.936
2249	2311	7	0.8812	0.075
2311	2349	7	0.8457	-0.075
2311	2464	7	0.8453	17.936
2311	2764	7	0.8726	-0.075
2311	3135	7	0.8602	18.042
2352	2464	7	0.9092	0.000
2464	2872	7	0.8702	42.995
2182	2187	7	0.852	-0.035
2169	3109	7	0.882	46.989
2667	3109	7	0.8904	-45.058
3031	3109	7	0.8854	-27.047
3109	3114	7	0.8989	-0.042
3109	3459	7	0.9006	-28.435
3109	3462	7	0.8962	-28.107
3109	3467	7	0.9115	-28.349
3077	3081	7	0.7618	18.011
2169	3031	7	0.982	74.036
2242	3031	7	0.8929	56.026
2352	3031	7	0.9134	56.026
2667	3031	7	0.9901	-18.011
2754	3031	7	0.8803	-18.011
3031	3449	7	0.9307	-55.563
2039	2269	7	0.8137	2.015
2155	2269	7	0.7415	-75.021
2191	2269	7	0.8911	-0.000
2266	2269	7	0.8166	1.003
2269	2505	7	0.8658	-2.015
2242	2465	7	0.9404	-18.010
2249	2465	7	0.8458	0.000
2349	2465	7	0.8449	0.000
2352	2465	7	0.8825	-18.010
2465	2754	7	0.8679	92.047
2465	2764	7	0.9047	-0.000
2465	3077	7	0.8336	-2.016
1818	2370	7	0.8617	-0.000
1980	2370	7	0.8414	18.010
2364	2370	7	0.8622	0.053
2370	2534	7	0.9648	0.019
2370	2624	7	0.7999	-33.010
1868	1881	7	0.9364	-0.073
1932	1976	7	0.8135	-11.998
1932	1977	7	0.8151	2.017
1932	2783	7	0.835	36.023
1787	1905	7	0.7753	-5.063
1905	1923	7	0.8049	-26.963
1905	2155	7	0.8236	4.031
1905	2840	7	0.7971	-26.016
1818	2503	7	0.8458	17.026
1949	2503	7	0.8277	-18.010
1980	2503	7	0.8306	35.037
2364	2503	7	0.938	17.080
2503	2534	7	0.8268	-17.007
2503	2783	7	0.9324	-0.000
2169	2352	7	0.8779	18.010
2352	2667	7	0.9326	74.036
2352	2723	7	0.8565	56.904
2352	2872	7	0.9281	42.995
2352	3449	7	0.8914	0.463
2723	3462	7	0.8716	-56.033
3456	3462	7	0.954	-0.076
3459	3462	7	0.9518	0.328
3462	3467	7	0.9613	-0.241
3462	3474	7	0.8848	-0.164
1938	2840	7	0.7953	-27.047
2840	3381	7	0.8002	13.032
1814	1924	7	0.7606	-2.016
2169	2667	7	0.9846	92.047
2242	2667	7	0.9113	74.036
2667	2754	7	0.9039	0.000
2667	2872	7	0.8849	-31.041
2667	3449	7	0.942	-73.573
2266	2496	7	0.8065	-2.015
2754	2872	7	0.8728	-31.041
1418	2155	7	0.7419	12.948
2169	3467	7	0.8588	18.641
3449	3467	7	0.8896	0.167
3456	3467	7	0.9509	-0.317
3459	3467	7	0.9516	0.086
3467	3474	7	0.8814	0.077
1818	1980	7	0.9251	-18.011
1924	1980	7	0.769	-3.047
1980	2364	7	0.8792	17.957
1980	2534	7	0.8285	18.029
2665	3456	7	0.8682	-56.062
3449	3456	7	0.8876	0.484
3456	3459	7	0.9544	-0.404
3456	3474	7	0.8889	-0.240
2242	3135	7	0.9162	0.106
2249	3135	7	0.8616	18.117
2349	3135	7	0.8419	18.117
2764	3135	7	0.8508	18.117
2363	2505	7	0.7485	204.231
1818	1985	7	0.8279	-0.000
1818	2364	7	0.8717	-0.054
1818	2534	7	0.8643	0.019
2127	2141	7	0.9859	-14.016
2191	2496	7	0.7533	-3.018
2496	2505	7	0.7558	1.004
1985	2155	7	0.7904	2.016
2155	2191	7	0.7936	-75.021
2155	2533	7	0.7444	17.026
2182	2655	7	0.8666	-28.285
2182	2665	7	0.9345	-28.032
2182	2674	7	0.8622	-310.038
2182	2700	7	0.8667	-27.979
2182	2723	7	0.8655	-28.137
2182	3114	7	0.8938	-56.104
2191	2505	7	0.7781	-2.015
2397	2505	7	0.7467	0.001
