SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00010072084	3307	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.969134	51790	0	4.71722	19	0.00341797	724.57	1	temp/spectra_filtered.mgf3307	1	GalCer(d18:2/18:1); [M+H]+ C42H78N1O8	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	724.573	0.0	1	N/A	N/A	N/A	N/A	N/A	1	Positive	PNNL-LIPIDS-POSITIVE	724.573	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010072084
CCMSLIB00010061192	2741	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.965661	4557	0	8.55331	5	0.00463867	542.32	1	temp/spectra_filtered.mgf2741	1	PC(20:5/0:0); [M+H]+ C28H49N1O7P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	542.325	0.0	1	N/A	N/A	N/A	N/A	N/A	1	Positive	PNNL-LIPIDS-POSITIVE	542.325	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010061192
CCMSLIB00010055490	3053	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.959173	390075	0	4.20645	13	0.00219727	522.354	1	temp/spectra_filtered.mgf3053	1	PC(0:0/18:1); [M+H]+ C26H53N1O7P1	LC-ESI	HCD; Lumos	Commercial	Thomas Metz	Thomas Metz	M+H	522.356	0.0	1	N/A	N/A	N/A	N/A	N/A	1	Positive	PNNL-LIPIDS-POSITIVE	522.356	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010055490
CCMSLIB00003134881	2323	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.955056	9234	0	0.403058	6	0.000183105	454.291	1	temp/spectra_filtered.mgf2323	1	Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	ESI	qTof	Isolated	Data from Katrina Waters;Yoshihiro Kawaoka;Michael Diamond;Richard Smith;Thomas Metz	Data deposited by alchemistmatt	M+H	454.291	453.285	1	53862354	N/A	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O	InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	454.291	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C21H44NO7P	YVYMBNSKXOXSKW-HXUWFJFHSA-N	YVYMBNSKXOXSKW	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Glycerophospholipids	Glycerophosphoethanolamines	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003134881
CCMSLIB00010055772	2915	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.952939	42655	0	3.68911	8	0.00183105	496.338	1	temp/spectra_filtered.mgf2915	1																																
CCMSLIB00003139491	527	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.951138	9046	0	13.7118	6	0.00257874	188.07	1	temp/spectra_filtered.mgf527	1																																
CCMSLIB00010099533	2202	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.950141	2543	0	4.29926	5	0.00195312	454.291	1	temp/spectra_filtered.mgf2202	1	PE(16:0/0:0); [M+H]+ C21H45N1O7P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	454.293	0.0	1	N/A	N/A	N/A	N/A	N/A	1	Positive	PNNL-LIPIDS-POSITIVE	454.293	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010099533
CCMSLIB00010055486	2870	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.935286	28936	0	4.44014	6	0.00231934	522.354	1	temp/spectra_filtered.mgf2870	1	PC(0:0/18:1); [M+H]+ C26H53N1O7P1	LC-ESI	HCD; Lumos	Commercial	Thomas Metz	Thomas Metz	M+H	522.356	0.0	1	N/A	N/A	N/A	N/A	N/A	1	Positive	PNNL-LIPIDS-POSITIVE	522.356	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010055486
CCMSLIB00010093117	2739	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.93114	29791	0	3.87085	8	0.00201416	520.338	1	temp/spectra_filtered.mgf2739	1	PC(18:2/0:0); [M+H]+ C26H51N1O7P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	520.34	0.0	1	N/A	N/A	N/A	N/A	N/A	1	Positive	PNNL-LIPIDS-POSITIVE	520.34	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010093117
CCMSLIB00010097197	2466	spectra_filtered.mgf	PNNL-LIPIDS-POSITIVE.mgf	0.929033	18619	0	3.24041	9	0.0015564	480.307	1	temp/spectra_filtered.mgf2466	1	PE(18:1/0:0); [M+H]+ C23H47N1O7P1	LC-ESI	HCD; Velos	Commercial	Thomas Metz	Thomas Metz	M+H	480.309	0.0	1	N/A	N/A	N/A	N/A	N/A	1	Positive	PNNL-LIPIDS-POSITIVE	480.309	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010097197
