p.value,m.z,t.score,r.t,pos_inx
5.25373631850224e-09,132.10106,193.818168010918,1.0714,TRUE
7.27747619231076e-09,166.08535,169.730786107508,1.5172,TRUE
1.11351145167592e-08,259.11393,187.699696992084,3.0151,TRUE
2.82487214145788e-08,206.02255,210.474025559175,3.0287,TRUE
3.54966762365377e-08,104.10279,121.657717097943,0.7513,TRUE
4.02308932355848e-08,259.114,111.669750713382,3.53,TRUE
6.93100906905509e-08,360.20772,111.515385463473,4.484,TRUE
1.01504047093732e-07,323.15884,87.6874452783198,2.5876,TRUE
1.0315263939539e-07,291.08522,112.322239906866,1.3816,TRUE
1.09719808533719e-07,332.1092,139.166186217262,1.0954,TRUE
1.3287537685606e-07,266.12221,163.389752455704,0.7697,TRUE
1.61087387801358e-07,215.13798,79.4156424837517,1.3876,TRUE
1.71827601068124e-07,236.11161,112.515648323751,0.7673,TRUE
1.88979123885323e-07,183.11172,106.513278795475,2.0948,TRUE
2.06236836309997e-07,536.37795,73.6716318896192,9.2148,TRUE
2.60322202025491e-07,242.09876,75.0007081113593,1.827,TRUE
3.10099517322699e-07,169.05972,96.5003827030579,5.3335,TRUE
4.23093544891333e-07,263.1377,127.401844168652,4.3272,TRUE
5.08764817523404e-07,167.08849,80.3233503767827,1.5208,TRUE
5.63618321896786e-07,214.98767,60.4838001852893,0.616,TRUE
5.96040507724355e-07,293.14832,66.1487615922058,2.775,TRUE
6.20254827771301e-07,136.0608,57.6889515442265,0.8554,TRUE
7.43769141207815e-07,367.14857,91.207273403857,2.324,TRUE
8.36009676346813e-07,247.24084,51.7304168721187,9.5441,TRUE
8.48878576838541e-07,276.14268,74.7925119562702,1.1526,TRUE
9.372933788399e-07,133.03375,66.6084022789693,0.6172,TRUE
9.48101587371408e-07,241.15351,50.8397069003125,0.7969,TRUE
9.94055174024438e-07,454.29117,52.3783705450248,9.078,TRUE
1.1280484110998e-06,298.27281,48.4626023381898,7.4391,TRUE
1.13398188163046e-06,275.10894,268.883163139371,1.415,TRUE
1.14283533341238e-06,206.09854,52.4429026974268,2.2085,TRUE
1.14815232844672e-06,101.00748,49.148437580948,0.6166,TRUE
1.17858269638662e-06,238.10619,49.3382425532492,5.2358,TRUE
1.19120102302302e-06,518.3225,73.239285516411,8.9734,TRUE
1.31140177126307e-06,205.09514,85.7728829643387,2.2058,TRUE
1.67703591689722e-06,705.18286,85.7146088133125,0.7606,TRUE
2.01528969645954e-06,423.32424,44.1682424778014,10.9529,TRUE
2.08829967417753e-06,251.15901,43.3032507650308,0.6216,TRUE
2.15044618961227e-06,315.25185,41.6384496297297,7.8792,TRUE
2.28835346694919e-06,280.26225,40.2555018895533,7.4384,TRUE
2.41899333948274e-06,456.20595,65.2001765959868,1.1357,TRUE
2.48475276935614e-06,518.32245,55.155008638297,9.1753,TRUE
2.71607091408496e-06,427.26504,52.2426859254957,6.6435,TRUE
2.74000208417072e-06,187.13173,47.3161967020238,5.7468,TRUE
3.01217184215937e-06,190.01172,37.8543840360623,0.8036,TRUE
3.12061427930647e-06,245.22518,37.9838005449234,9.2623,TRUE
3.16907227146941e-06,496.33818,56.4853621905116,9.7632,TRUE
3.21242052226712e-06,534.69963,38.6249625849257,0.6951,TRUE
3.48729113035628e-06,221.18491,40.1778064073253,0.7913,TRUE
3.53357940181607e-06,221.04108,89.8926372445381,0.7379,TRUE
3.54883655978914e-06,357.29837,38.4078880494225,8.8912,TRUE
3.78515129651903e-06,219.02552,177.062801937451,0.7397,TRUE
3.83554743300331e-06,520.33756,38.5821270795634,9.2982,TRUE
3.92881099790932e-06,478.29104,36.5516495403823,8.8093,TRUE
4.08401983511908e-06,328.13777,139.567996866116,1.6688,TRUE
4.37031568805522e-06,500.39291,36.991831137445,9.6819,TRUE
4.37211666367638e-06,215.98885,54.2440537635131,0.6172,TRUE
4.44828903267475e-06,413.21146,57.3836971941458,0.6068,TRUE
4.5378605054413e-06,318.29896,36.9795830493488,7.6169,TRUE
4.77397264680119e-06,414.95301,34.3262612012686,0.6197,TRUE
4.89275600466165e-06,176.00979,36.7066665308608,0.8418,TRUE
5.13364366422375e-06,248.05176,-35.3406466461722,5.0545,TRUE
5.3472535050563e-06,415.16243,33.5054781064493,5.6297,TRUE
5.77719083020458e-06,120.07984,77.2328004079517,1.5093,TRUE
5.89986553593828e-06,211.16821,33.3432878317037,5.5669,TRUE
5.96024766359461e-06,295.24264,32.9953572163094,9.6228,TRUE
6.04560070681697e-06,382.92697,71.1187516506842,0.6185,TRUE
6.17513288697788e-06,540.30517,36.2794493826225,9.1759,TRUE
6.43597955626794e-06,1043.70087,31.0643022681669,9.9787,TRUE
6.46964258481147e-06,155.10565,33.2226729550969,5.7456,TRUE
6.72478695930925e-06,216.98569,30.7220666269759,0.6197,TRUE
6.73083759034691e-06,557.19876,50.166870772726,5.9398,TRUE
6.96349221877998e-06,326.30399,40.3753638538197,9.3486,TRUE
7.69332399445067e-06,330.05771,37.0365561999798,0.9279,TRUE
8.19924367173818e-06,387.05056,34.7177505335405,4.7704,TRUE
8.30623817682887e-06,522.35372,34.2478090481105,9.7054,TRUE
8.39160916993702e-06,247.01376,101.781346097916,0.6185,TRUE
8.76263854870186e-06,329.16943,30.031287104115,2.1864,TRUE
8.81667518803951e-06,409.18182,38.1866660385672,4.7103,TRUE
9.01848747121264e-06,134.03495,47.9169438708281,0.6111,TRUE
9.07282287547749e-06,480.30689,45.1364754182039,9.0915,TRUE
9.09885839128566e-06,261.9759,-70.617927684419,0.9511,TRUE
9.13961830012936e-06,116.06968,43.7052586873983,0.7753,TRUE
9.5662656163617e-06,324.28835,31.7097586529798,9.0694,TRUE
9.67147568702458e-06,535.21681,30.7119637448869,5.9371,TRUE
9.80531044812103e-06,165.08999,30.3041662080006,10.9523,TRUE
1.01138572139051e-05,308.13266,32.2439510795368,1.1664,TRUE
1.06086769067311e-05,263.23569,35.0165181149187,9.261,TRUE
