"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Purine metabolism","72","18","17","7.9333","0.0077833","0.025397","0.0014007","0","0","0.4280815","1","0.0770385","P1","EC0009;EC00099;EC0001;EC00060;EC00036;EC00024;EC00025;EC00037;EC00047;EC00072;EC00090;EC00027;EC00040"
"Folate biosynthesis","31","3","3","1.8667","0.044712","0.24911","0.0016217","0","0","1","1","0.0875718","P2","EC00019;EC00024;EC00025;EC000113"
"Tryptophan metabolism","10","5","4","2.3333","0.14339","0.42091","0.0024103","46","0.46","1","1","0.1277459","P3","EC00064;EC00011;EC00068;EC00049"
"Cyanoamino acid metabolism","17","4","3","1.8667","0.26068","0.62512","0.0039018","11","0.11","1","1","0.2028936","P4","EC00083;EC000111;EC00070"
"Carbon fixation by Calvin cycle","17","3","3","1.8667","0.26068","0.62512","0.0039018","38","0.38","1","1","0.2028936","P5","EC00041;EC000103;EC00015"
"Pentose phosphate pathway","20","7","7","2.8","0.27853","0.57777","0.0042036","50","0.5","1","1","0.21018","P6","EC00015;EC000103;EC0003;EC00041"
"Starch and sucrose metabolism","11","9","9","2.8","0.27853","0.57777","0.0042036","40","0.4","1","1","0.21018","P7","EC00017;EC0003;EC00015;EC00067"
"Phenylalanine, tyrosine and tryptophan biosynthesis","23","7","5","4.6667","0.29014","0.51866","0.0044133","42","0.42","1","1","0.2118384","P8","EC00041;EC00013;EC00014;EC00011;EC00019;EC00012"
"Valine, leucine and isoleucine biosynthesis","22","12","9","5.1333","0.40648","0.63119","0.0072543","30","0.3","1","1","0.3409521","P9","EC00020;EC00091;EC00023;EC00097;EC00056;EC00034"
"Tyrosine metabolism","17","7","4","4.2","0.41561","0.66429","0.0075489","34","0.34","1","1","0.3472494","P10","EC00046;EC00013;EC00014;EC00054;EC0005"
