"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Purine metabolism","56","17","16","6.9907","0.0015496","0.0061947","0.0007412","0","0","0.0650832","0.2601774","0.0311304","P1","EC0009;EC00091;EC0001;EC00060;EC00037;EC00025;EC00026;EC00041;EC00048;EC00038;EC000101;EC00083;EC00028"
"Pentose phosphate pathway","26","7","7","2.8785","0.099863","0.2878","0.0011389","35","0.35","1","1","0.0466949","P2","EC00016;EC00080;EC00094;EC0003;EC00042"
"Thiamine metabolism","12","2","2","0.82243","0.16681","0.64451","0.0015325","3","0.03","1","1","0.0613","P3","EC00047;EC00092"
"Cyanoamino acid metabolism","13","4","3","1.6449","0.18799","0.52972","0.0016847","6","0.06","1","1","0.0657033","P4","EC00078;EC000104;EC00068"
"Carbon fixation by Calvin cycle","16","3","3","1.6449","0.18799","0.52972","0.0016847","34","0.34","1","1","0.0657033","P5","EC00042;EC00094;EC00016"
"Starch and sucrose metabolism","17","15","15","2.4673","0.18846","0.45963","0.0016883","30","0.3","1","1","0.0657033","P6","EC00018;EC00067;EC0003;EC00016"
"Pantothenate and CoA biosynthesis","14","4","4","2.4673","0.18846","0.45963","0.0016883","8","0.08","1","1","0.0657033","P7","EC00069;EC00035;EC00055;EC00024"
"Phenylalanine, tyrosine and tryptophan biosynthesis","13","6","4","3.7009","0.28279","0.52472","0.0025885","43","0.43","1","1","0.0905975","P8","EC00014;EC00015;EC00012;EC00020;EC00013"
"Valine, leucine and isoleucine degradation","13","4","4","2.0561","0.33397","0.67128","0.003278","11","0.11","1","1","0.111452","P9","EC00035;EC00021;EC00024"
"Glycine, serine and threonine metabolism","14","2","2","1.2336","0.36699","0.79009","0.0038246","42","0.42","1","1","0.1262118","P10","EC00051;EC00012"
"Lysine degradation","4","2","2","1.2336","0.36699","0.79009","0.0038246","17","0.17","1","1","0.1262118","P11","EC00024;EC00055"
"Butanoate metabolism","12","2","2","1.2336","0.36699","0.79009","0.0038246","19","0.19","1","1","0.1262118","P12","EC00055;EC0005"
"Galactose metabolism","36","23","20","4.1121","0.39141","0.63005","0.0042912","59","0.59","1","1","0.128736","P13","EC00050;EC00016;EC00067;EC00018;EC0003"
"Valine, leucine and isoleucine biosynthesis","10","6","5","3.2897","0.43064","0.69676","0.0051728","25","0.25","1","1","0.1500112","P14","EC00021;EC00024;EC00035;EC00055"
"Tyrosine metabolism","8","4","2","2.4673","0.47948","0.7771","0.0065531","39","0.39","1","1","0.1834868","P15","EC00014;EC00015;EC0005"
"Glycolysis or Gluconeogenesis","26","7","7","1.6449","0.54599","0.87688","0.0091182","58","0.58","1","1","0.2461914","P16","EC00016;EC0003"
"Alanine, aspartate and glutamate metabolism","19","4","2","1.6449","0.54599","0.87688","0.0091182","32","0.32","1","1","0.2461914","P17","EC0009;EC0005"
"Lysine biosynthesis","16","3","2","1.6449","0.54599","0.87688","0.0091182","26","0.26","1","1","0.2461914","P18","EC00051;EC00090"
"Inositol phosphate metabolism","15","5","5","1.6449","0.54599","0.87688","0.0091182","58","0.58","1","1","0.2461914","P19","EC00016;EC0003"
"Fructose and mannose metabolism","21","14","8","2.8785","0.60914","0.85254","0.012613","67","0.67","1","1","0.290099","P20","EC0003;EC00050;EC00016"
"Phenylalanine metabolism","11","5","3","2.8785","0.60914","0.85254","0.012613","52","0.52","1","1","0.290099","P21","EC00062;EC0005;EC00013"
"Pentose and glucuronate interconversions","21","1","1","0.82243","0.65562","1","0.016154","60","0.6","1","1","0.339234","P22","EC00016"
"Monobactam biosynthesis","6","1","1","0.82243","0.65562","1","0.016154","56","0.56","1","1","0.339234","P23","EC00051"
"Histidine metabolism","12","2","1","0.82243","0.65562","1","0.016154","47","0.47","1","1","0.339234","P24","EC00091"
"Glyoxylate and dicarboxylate metabolism","14","2","1","0.82243","0.65562","1","0.016154","44","0.44","1","1","0.339234","P25","EC0009"
"C5-Branched dibasic acid metabolism","3","1","1","0.82243","0.65562","1","0.016154","47","0.47","1","1","0.339234","P26","EC00055"
"Methane metabolism","15","1","1","0.82243","0.65562","1","0.016154","60","0.6","1","1","0.339234","P27","EC00016"
"Terpenoid backbone biosynthesis","14","3","2","0.82243","0.65562","1","0.016154","48","0.48","1","1","0.339234","P28","EC00023"
"Nitrogen metabolism","5","2","1","0.82243","0.65562","1","0.016154","44","0.44","1","1","0.339234","P29","EC0009"
"Streptomycin biosynthesis","10","7","5","2.0561","0.68734","0.92828","0.019226","68","0.68","1","1","0.339234","P30","EC0003;EC00016"
"Nicotinate and nicotinamide metabolism","11","5","2","2.0561","0.68734","0.92828","0.019226","44","0.44","1","1","0.339234","P31","EC00040;EC0005"
"Amino sugar and nucleotide sugar metabolism","26","13","10","2.4673","0.79128","0.95851","0.035463","83","0.83","1","1","0.390093","P32","EC00016;EC0003"
"Cysteine and methionine metabolism","31","8","3","3.7009","0.79989","0.93924","0.037457","69","0.69","1","1","0.390093","P33","EC00051;EC00090;EC000107"
"Arginine biosynthesis","9","3","1","1.2336","0.79993","1","0.037466","54","0.54","1","1","0.390093","P34","EC0009"
"Arginine and proline metabolism","11","3","1","1.2336","0.79993","1","0.037466","51","0.51","1","1","0.390093","P35","EC00029"
"D-Amino acid metabolism","13","3","1","1.2336","0.79993","1","0.037466","53","0.53","1","1","0.390093","P36","EC0009"
"Polyketide sugar unit biosynthesis","5","3","1","1.2336","0.79993","1","0.037466","65","0.65","1","1","0.390093","P37","EC00016"
"Acarbose and validamycin biosynthesis","3","2","1","1.2336","0.79993","1","0.037466","65","0.65","1","1","0.390093","P38","EC00016"
"O-Antigen nucleotide sugar biosynthesis","13","5","3","1.2336","0.79993","1","0.037466","65","0.65","1","1","0.390093","P39","EC00016"
"Riboflavin metabolism","7","2","1","1.2336","0.79993","1","0.037466","73","0.73","1","1","0.390093","P40","EC00023"
"Vitamin B6 metabolism","8","3","1","1.6449","0.88457","1","0.067838","41","0.41","1","1","0.390093","P41","EC00028"
"Pyrimidine metabolism","37","5","1","2.0561","0.93388","1","0.10463","53","0.53","1","1","0.390093","P42","EC0009"
