"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Purine metabolism","55","14","14","5.8085","0.0028828","0.012134","0.0009764","0","0","0.1239604","0.521762","0.0419852","P1","EC0009;EC00084;EC0001;EC00028;EC00025;EC00026;EC00039;EC00046;EC00036;EC00064;EC00076"
"Folate biosynthesis","28","2","2","1.2447","0.068179","0.35663","0.0012839","0","0","1","1","0.0539238","P2","EC00020;EC00025;EC00026"
"Pentose phosphate pathway","20","6","6","2.0745","0.092903","0.32113","0.0014253","23","0.23","1","1","0.0584373","P3","EC00016;EC00073;EC00086;EC00040"
"Thiamine metabolism","14","2","2","0.82979","0.16953","0.64768","0.0019764","3","0.03","1","1","0.079056","P4","EC00045;EC00085"
"Phenylalanine, tyrosine and tryptophan biosynthesis","21","7","5","4.1489","0.17917","0.3723","0.0020601","29","0.29","1","1","0.0803439","P5","EC00040;EC00014;EC00015;EC00012;EC00020;EC00013"
"Carbon fixation by Calvin cycle","15","3","3","1.6596","0.1918","0.53414","0.0021754","36","0.36","1","1","0.0826652","P6","EC00040;EC00086;EC00016"
"Starch and sucrose metabolism","17","15","15","2.4894","0.19291","0.46473","0.0021859","29","0.29","1","1","0.0826652","P7","EC00062;EC0003;EC00018;EC00016"
"Pantothenate and CoA biosynthesis","18","5","4","2.9043","0.31338","0.59446","0.0037059","14","0.14","1","1","0.1334124","P8","EC00063;EC00034;EC00054;EC00024"
"Valine, leucine and isoleucine degradation","11","4","4","2.0745","0.34015","0.67614","0.0041768","11","0.11","1","1","0.146188","P9","EC00034;EC00021;EC00024"
"Glycine, serine and threonine metabolism","18","2","2","1.2447","0.37222","0.7932","0.0048266","43","0.43","1","1","0.1641044","P10","EC00050;EC00012"
"Histidine metabolism","14","3","2","1.2447","0.37222","0.7932","0.0048266","24","0.24","1","1","0.1641044","P11","EC00084;EC00094"
"Valine, leucine and isoleucine biosynthesis","10","6","5","3.3191","0.43938","0.70302","0.0065664","21","0.21","1","1","0.2101248","P12","EC00021;EC00024;EC00034;EC00054"
"Tyrosine metabolism","14","4","2","2.4894","0.48738","0.78185","0.0082224","37","0.37","1","1","0.2548944","P13","EC00014;EC00015;EC0005"
"Glycolysis or Gluconeogenesis","26","7","7","1.6596","0.55264","0.87956","0.011252","59","0.59","1","1","0.33756","P14","EC00016;EC0003"
"Arginine biosynthesis","15","4","2","1.6596","0.55264","0.87956","0.011252","35","0.35","1","1","0.33756","P15","EC00049;EC0009"
"Alanine, aspartate and glutamate metabolism","20","4","2","1.6596","0.55264","0.87956","0.011252","29","0.29","1","1","0.33756","P16","EC0009;EC0005"
"Lysine biosynthesis","17","3","2","1.6596","0.55264","0.87956","0.011252","24","0.24","1","1","0.33756","P17","EC00050;EC00083"
"Novobiocin biosynthesis","3","2","1","1.6596","0.55264","0.87956","0.011252","39","0.39","1","1","0.33756","P18","EC00014;EC00015"
"Inositol phosphate metabolism","11","6","6","1.6596","0.55264","0.87956","0.011252","59","0.59","1","1","0.33756","P19","EC00016;EC0003"
"Butanoate metabolism","12","3","2","1.6596","0.55264","0.87956","0.011252","45","0.45","1","1","0.33756","P20","EC00054;EC0005"
"Nicotinate and nicotinamide metabolism","9","4","2","1.6596","0.55264","0.87956","0.011252","18","0.18","1","1","0.33756","P21","EC00038;EC0005"
"Galactose metabolism","33","21","18","3.734","0.55894","0.78885","0.011604","73","0.73","1","1","0.33756","P22","EC00048;EC00016;EC00018;EC0003"
"Fructose and mannose metabolism","18","11","7","2.9043","0.61788","0.85681","0.015574","67","0.67","1","1","0.33756","P23","EC0003;EC00048;EC00016"
"Pentose and glucuronate interconversions","16","1","1","0.82979","0.66026","1","0.019385","60","0.6","1","1","0.3877","P24","EC00016"
"Monobactam biosynthesis","8","1","1","0.82979","0.66026","1","0.019385","56","0.56","1","1","0.3877","P25","EC00050"
"Glyoxylate and dicarboxylate metabolism","14","2","1","0.82979","0.66026","1","0.019385","44","0.44","1","1","0.3877","P26","EC0009"
"C5-Branched dibasic acid metabolism","3","1","1","0.82979","0.66026","1","0.019385","47","0.47","1","1","0.3877","P27","EC00054"
"Methane metabolism","18","1","1","0.82979","0.66026","1","0.019385","60","0.6","1","1","0.3877","P28","EC00016"
"Terpenoid backbone biosynthesis","17","3","2","0.82979","0.66026","1","0.019385","48","0.48","1","1","0.3877","P29","EC00023"
"Nitrogen metabolism","7","2","1","0.82979","0.66026","1","0.019385","44","0.44","1","1","0.3877","P30","EC0009"
"Sulfur metabolism","12","2","1","0.82979","0.66026","1","0.019385","57","0.57","1","1","0.3877","P31","EC0005"
