"","id","mz","rt","log2FC","t.score","p.value"
"1",391,132.10106,1.0714,-0.778413438674287,193.818168010918,5.25373631850224e-09
"2",466,166.08535,1.5172,-0.857764203041478,169.730786107507,7.27747619231076e-09
"3",568,259.11393,3.0151,-8.1942417762302,187.699696992084,1.11351145167592e-08
"4",569,206.02255,3.0287,-1.04716764335826,210.474025559175,2.82487214145788e-08
"5",250,104.10279,0.7513,-0.677438044622264,121.657717097943,3.54966762365377e-08
"6",578,259.114,3.53,-2.44419452993734,111.669750713382,4.02308932355848e-08
"7",664,360.20772,4.484,-6.13859551167263,111.515385463473,6.93100906905508e-08
"8",553,323.15884,2.5876,-0.98793386251538,87.6874452783198,1.01504047093732e-07
"9",455,291.08522,1.3816,-7.56603139259532,112.322239906866,1.0315263939539e-07
"10",397,332.1092,1.0954,-4.32484114765718,139.166186217262,1.09719808533719e-07
"11",270,266.12221,0.7697,-0.805303824274738,163.389752455704,1.3287537685606e-07
"12",454,215.13798,1.3876,-1.80977369757247,79.4156424837517,1.61087387801358e-07
"13",266,236.11161,0.7673,-0.928776656636304,112.515648323751,1.71827601068124e-07
"14",514,183.11172,2.0948,-0.77080650872357,106.513278795475,1.88979123885323e-07
"15",2445,536.37795,9.2148,-0.96627477109547,73.6716318896192,2.06236836309997e-07
"16",496,242.09876,1.827,-1.04259112347816,75.0007081113593,2.60322202025491e-07
"17",811,169.05972,5.3335,-1.31282760659376,96.5003827030579,3.10099517322699e-07
"18",644,263.1377,4.3272,-1.38732683512257,127.401844168652,4.23093544891333e-07
"19",468,167.08849,1.5208,-1.03406376904707,80.3233503767827,5.08764817523404e-07
"20",32,214.98767,0.616,-0.476085023364288,60.4838001852893,5.63618321896786e-07
"21",559,293.14832,2.775,-1.5733159097264,66.1487615922058,5.96040507724355e-07
"22",287,136.0608,0.8554,-1.11438255983219,57.6889515442265,6.20254827771301e-07
"23",538,367.14857,2.324,-1.21821788087869,91.207273403857,7.43769141207815e-07
"24",2755,247.24084,9.5441,-0.93553895361496,51.7304168721187,8.36009676346813e-07
"25",408,276.14268,1.1526,-1.34522501838691,74.7925119562702,8.48878576838541e-07
"26",36,133.03375,0.6172,-0.497714383870068,66.6084022789693,9.372933788399e-07
"27",298,241.15351,0.7969,-0.688574984931006,50.8397069003125,9.48101587371408e-07
"28",2323,454.29117,9.078,-1.89397177205205,52.3783705450248,9.94055174024437e-07
"29",1571,298.27281,7.4391,-1.06400465983411,48.4626023381898,1.1280484110998e-06
"30",456,275.10894,1.415,-2.88690625797806,268.883163139371,1.13398188163046e-06
"31",528,206.09854,2.2085,-0.840029942161159,52.4429026974268,1.14283533341238e-06
"32",34,101.00748,0.6166,-0.526628553426178,49.148437580948,1.14815232844672e-06
"33",794,238.10619,5.2358,-1.14727842940674,49.3382425532492,1.17858269638662e-06
"34",2227,518.3225,8.9734,-1.64552905303594,73.239285516411,1.19120102302302e-06
"35",526,205.09514,2.2058,-0.864773433148054,85.7728829643387,1.31140177126307e-06
"36",260,705.18286,0.7606,-1.06529258427918,85.7146088133124,1.67703591689722e-06
