"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Purine metabolism","65","14","13","6.6108","0.0046234","0.017122","0.0018206","0","0","0.2496636","0.924588","0.0983124","P1","EC0009;EC000137;EC0001;EC00036;EC00027;EC00047;EC00061;EC00040;EC00024;EC00025;EC00091;EC00073"
"Tryptophan metabolism","30","10","7","3.3054","0.054037","0.17932","0.0021943","10","0.1","1","1","0.1162979","P2","EC00011;EC00076;EC000113;EC00083;EC00056;EC00019"
"Pentose phosphate pathway","18","6","6","2.0659","0.094174","0.32794","0.0025567","19","0.19","1","1","0.1329484","P3","EC00015;EC000114;EC000141;EC00048"
"D-Amino acid metabolism","4","2","2","0.82635","0.16925","0.65003","0.0034142","5","0.05","1","1","0.1741242","P4","EC00012;EC000147"
"Thiamine metabolism","16","2","2","0.82635","0.16925","0.65003","0.0034142","3","0.03","1","1","0.1741242","P5","EC00060;EC000138"
"Folate biosynthesis","22","2","2","0.82635","0.16925","0.65003","0.0034142","9","0.09","1","1","0.1741242","P6","EC000154;EC00019"
"Phenylalanine, tyrosine and tryptophan biosynthesis","21","7","5","4.1317","0.18195","0.38235","0.0035871","25","0.25","1","1","0.1741242","P7","EC00013;EC00014;EC00048;EC00011;EC00019;EC00012"
"Pantothenate and CoA biosynthesis","20","6","5","3.3054","0.1891","0.42155","0.0036885","11","0.11","1","1","0.1741242","P8","EC00088;EC00023;EC000114;EC00070;EC00034"
"Fatty acid biosynthesis","4","1","1","1.6527","0.19193","0.53833","0.0037294","10","0.1","1","1","0.1741242","P9","EC00042;EC00043;EC00045"
"Fatty acid degradation","26","1","1","1.6527","0.19193","0.53833","0.0037294","10","0.1","1","1","0.1741242","P10","EC00042;EC00043;EC00045"
"alpha-Linolenic acid metabolism","11","1","1","1.6527","0.19193","0.53833","0.0037294","43","0.43","1","1","0.1741242","P11","EC000150;EC000151;EC000153"
"Carbon fixation by Calvin cycle","19","3","3","1.6527","0.19193","0.53833","0.0037294","25","0.25","1","1","0.1741242","P12","EC00048;EC000141;EC00015"
"Valine, leucine and isoleucine degradation","16","5","5","2.479","0.19374","0.4708","0.0037558","6","0.06","1","1","0.1741242","P13","EC00034;EC00020;EC00023;EC0005"
"Starch and sucrose metabolism","11","10","10","2.479","0.19374","0.4708","0.0037558","26","0.26","1","1","0.1741242","P14","EC0003;EC00078;EC00017;EC00015"
