Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
307.0839,(-)-Epigallocatechin,M+H[1+],6.5625,0.00267073123001182,EC0001
177.1246,(-)-Isoborneol,M+Na[1+],6.8152,0.000441664770022498,EC0002
177.1246,(+)-Menthone,M+Na[1+],6.8152,0.000441664770022498,EC0002
273.07447,(+/-)-2'-Hydroxydihydrodaidzein,M+H[1+],6.0138,0.00128146676996721,EC0003
171.10052,(+/-)-Methyl 5-acetoxyhexanoate,M-H2O+H[1+],5.0379,0.00101546677001352,EC0004
171.10057,(+/-)-Methyl 5-acetoxyhexanoate,M-H2O+H[1+],5.6279,0.000965466769997647,EC0005
211.09301,(+/-)-Methyl 5-acetoxyhexanoate,M+Na[1+],5.6326,0.00112546677002001,EC0005
273.07447,(±)-2'-Hydroxydihydrodaidzein,M+H[1+],6.0138,0.00127996076997761,EC0003
199.16837,(±)-Menthyl acetate,M+H[1+],9.9604,0.000886414770008059,EC0006
367.31948,(10E)-19-Fluorovitamin D3,M-H4O2+H[1+],10.2241,0.00360353323003437,EC0007
385.33002,(10E)-19-Fluorovitamin D3,M-H2O+H[1+],10.2207,0.00354353323001533,EC0007
421.30866,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M-H2O+H[1+],9.737,0.00141646677002427,EC0008
421.30877,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M-H2O+H[1+],10.5596,0.00130646677001778,EC0009
421.30936,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M-H2O+H[1+],9.1985,0.000716466769972612,EC00010
439.31895,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M+H[1+],9.2048,0.0017264667700374,EC00010
439.31898,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M+H[1+],9.9378,0.00169646676999946,EC0008
439.31911,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M+H[1+],10.5401,0.00156646676998662,EC0009
439.31915,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M+H[1+],10.3561,0.00152646677003077,EC0009
439.31916,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M+H[1+],9.7351,0.00151646676999917,EC0008
457.3297,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M+H2O+H[1+],10.458,0.00157646677001821,EC0009
457.32982,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M+H2O+H[1+],10.7078,0.00145646677003697,EC0009
457.33124,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M+H2O+H[1+],9.8369,3.64667700409882e-05,EC0008
291.19348,"(1R,2R)-3-Oxo-2-pentyl-cyclopentanehexanoic acid",M+Na[1+],7.2899,0.000357533230044282,EC00011
291.19412,"(1R,2R)-3-Oxo-2-pentyl-cyclopentanehexanoic acid",M+Na[1+],7.0165,0.000997533230020053,EC00012
291.19413,"(1R,2R)-3-Oxo-2-pentyl-cyclopentanehexanoic acid",M+Na[1+],7.7811,0.00100753322999481,EC00013
197.15251,"(1S,2R,4S)-Bornyl acetate",M+H[1+],9.5777,0.00109646677000796,EC00014
