"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"LPI","61","19","14","5.9619","0.00013555","0.00056614","0.0033376","0","0","0.01585935","0.06623838","0.3904992","P1","EC0001280;EC0001283;EC0001284;EC0001286;EC000556;EC0001287;EC0001288;EC0001289;EC0001291;EC0001293;EC0001272;EC0001294;EC0001295;EC0001297;EC0001273"
"O-LPS","14","8","5","2.768","0.00023644","0.0016692","0.0033387","0","0","0.02742704","0.1936272","0.3904992","P2","EC0001329;EC0001330;EC0001331;EC0001333;EC0001334;EC0001335;EC0001336;EC0001337;EC0001338"
"Other Octadecanoids","27","27","23","8.5169","0.0015901","0.0044328","0.003354","37","0.37","0.1828615","0.509772","0.3904992","P3","EC0001044;EC000189;EC00065;EC00066;EC00067;EC000168;EC000169;EC000267;EC000268;EC000447;EC000515;EC000516;EC00016;EC000150;EC000151;EC000534;EC000535"
"HODEs","18","18","18","0.85169","0.0019352","0.030992","0.0033579","0","0","0.2206128","1","0.3904992","P4","EC000168;EC000169;EC000267;EC000268"
"LPC","79","26","14","6.6006","0.0020542","0.0063128","0.0033592","1","0.01","0.2321246","0.7196592","0.3904992","P5","EC000801;EC000802;EC000831;EC000832;EC0001240;EC0001241;EC0001378;EC000805;EC000815;EC0001230;EC0001232;EC0001234;EC0001238;EC000816"
"LPE","67","23","13","7.4523","0.0027056","0.007643","0.0033666","0","0","0.3030272","0.863659","0.3904992","P6","EC0001381;EC0001230;EC0001232;EC0001234;EC0001238;EC0001244;EC0001245;EC0001383;EC0001384;EC000816;EC0001388;EC000801;EC000802;EC000815;EC000805"
"C19 steroids","43","14","9","2.768","0.0091195","0.036866","0.0034404","0","0","1","1","0.3904992","P7","EC000466;EC0001129;EC000316;EC000271;EC000266;EC0001005;EC0001856"
"Carbocyclic Fatty Acids","9","6","4","2.768","0.0091195","0.036866","0.0034404","2","0.02","1","1","0.3904992","P8","EC000194;EC000196;EC000164;EC000165;EC000167;EC000503;EC000266"
"DiHOMEs","8","8","8","0.63877","0.009254","0.11347","0.003442","0","0","1","1","0.3904992","P9","EC00065;EC00066;EC00067"
"HpOMEs","7","7","7","0.63877","0.009254","0.11347","0.003442","0","0","1","1","0.3904992","P10","EC00065;EC00066;EC00067"
"Oxo Fatty Acids","43","26","18","6.8136","0.023441","0.054339","0.0036113","0","0","1","1","0.3904992","P11","EC000398;EC0001192;EC000225;EC000538;EC000161;EC000257;EC000274;EC000306;EC000418;EC000380;EC000404;EC000188"
"PI","1965","103","29","5.3231","0.023523","0.059883","0.0036123","0","0","1","1","0.3904992","P12","EC0001764;EC0001765;EC0001767;EC0001769;EC0001770;EC0001771;EC0001773;EC0001775;EC0001776;EC0001777"
"Methoxy Fatty Acids","4","4","4","1.9163","0.02391","0.0987","0.003617","6","0.06","1","1","0.3904992","P13","EC000232;EC000257;EC000328;EC000523;EC000524"
"Wax diesters","12","8","4","2.5551","0.024286","0.085698","0.0036217","6","0.06","1","1","0.3904992","P14","EC0005;EC00063;EC00068;EC00065;EC00066;EC00067"
"LPA","66","34","14","9.3686","0.029521","0.059769","0.0036865","3","0.03","1","1","0.3904992","P15","EC0001354;EC0001349;EC0001350;EC0001355;EC0001358;EC0001368;EC0001371;EC0001208;EC0001211;EC0001212;EC0001214;EC0001215;EC0001217;EC0001218;EC0001219"
