"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Amino acids","510","138","88","37.751","3.4614e-05","7.2157e-05","0.00047485","0","0","0.004707504","0.009813352","0.0645796","P1","EC000124;EC00054;EC00055;EC000455;EC000196;EC000463;EC000277;EC00065;EC000102;EC000493;EC000200;EC000278;EC000701;EC000702;EC000703;EC00069;EC000554;EC000123;EC000778;EC000489;EC000907;EC000689;EC000157;EC000160;EC000161;EC000955;EC000828;EC000924;EC000445;EC000929;EC000782;EC00017;EC00038;EC00042;EC000143;EC000149;EC000294;EC000282;EC000550;EC000723;EC000795;EC000431;EC000154;EC000869;EC000870;EC000893;EC000874;EC000875;EC000881;EC000883;EC000784;EC000887;EC000886;EC000967;EC00013"
"Dipeptides","438","169","98","27.574","0.00053339","0.0011074","0.0004759","0","0","0.07200765","0.149499","0.0645796","P2","EC000277;EC000278;EC000634;EC000996;EC000275;EC000276;EC000347;EC000440;EC000244;EC000177;EC000243;EC000674;EC000675;EC000676;EC00081;EC00082;EC000722;EC000550;EC000770;EC000771;EC000775;EC000823;EC000379;EC000683;EC000382;EC000270;EC0001010;EC000615;EC000123;EC000689;EC000950;EC000973;EC0001048;EC000669;EC000948;EC000949;EC00013;EC000749;EC000842;EC000481"
"Purine ribonucleoside monophosphates","24","8","8","1.6413","0.0026865","0.032951","0.00048045","1","0.01","0.359991","1","0.0645796","P3","EC000117;EC00087;EC000692;EC000693;EC00088"
"Indolyl carboxylic acids","13","3","3","1.3131","0.008815","0.088259","0.00049367","0","0","1","1","0.06565811","P4","EC000160;EC000161;EC000159;EC000282"
"Dialkylarylamines","5","2","2","0.9848","0.028861","0.22394","0.0005396","8","0.08","1","1","0.0712272","P5","EC00083;EC000674;EC000675"
"Cyanogenic glycosides","9","5","5","0.9848","0.028861","0.22394","0.0005396","2","0.02","1","1","0.0712272","P6","EC000802;EC000762;EC000699"
"Pyridinecarboxylic acids","22","10","9","1.9696","0.075919","0.26731","0.00066569","2","0.02","1","1","0.0865397","P7","EC00086;EC00052;EC00057;EC000493"
"Delta valerolactones","10","6","5","3.6109","0.085787","0.22371","0.0006958","17","0.17","1","1","0.0897582","P8","EC000803;EC000591;EC000592;EC00069;EC000854;EC000856"
"Catecholamines","7","3","2","1.3131","0.089001","0.35963","0.00070591","8","0.08","1","1","0.09035648","P9","EC000784;EC000591;EC000592"
"Indole-3-acetic acid derivatives","6","3","2","1.3131","0.089001","0.35963","0.00070591","1","0.01","1","1","0.09035648","P10","EC000160;EC000161;EC000159"
"Serotonins","7","4","4","1.3131","0.089001","0.35963","0.00070591","2","0.02","1","1","0.09035648","P11","EC000521;EC000832;EC000162"
"Phenethylamines","10","4","4","1.3131","0.089001","0.35963","0.00070591","2","0.02","1","1","0.09035648","P12","EC00059;EC00083;EC000490"
"Glycosylamines","15","4","3","1.3131","0.089001","0.35963","0.00070591","9","0.09","1","1","0.09035648","P13","EC000448;EC000191;EC000880"
"Benzyl alcohols","11","4","3","1.3131","0.089001","0.35963","0.00070591","3","0.03","1","1","0.09035648","P14","EC00059;EC000100;EC00056"
