formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C6H6FO3PS	[M + K]+	C6H6FKO3PS+	Fatty acids	0.075	Pseudoalkaloids (transamidation)	0.061	Halogenated fatty acids	0.030	Organic acids and derivatives	0.905	Organic phosphonic acids and derivatives	0.948	Organic phosphonic acids	0.815			Organic phosphonic acids	0.815	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organofluorides; Organic oxides; Hydrocarbon derivatives; Alkylphosphonofluoridic acids and esters; Organic oxygen compounds; Chemical entities	246.937	36	0.593	816703065993408614	816702771431614318	816702771419031405	6	
1	C16H32N2O10	[M + H]+	C16H33N2O10+	Carbohydrates	0.990	Aminosugars and aminoglycosides	0.765	Amino cyclitols	0.730	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.962	Aminosaccharides	0.885	2-deoxystreptamine aminoglycosides	0.528	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; Polyols; Amines; Primary amines; Alkanolamines; Aminocyclitols and derivatives; Cyclohexylamines; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	413.211	36	0.606	816703091566086588	816702771536471923	816702771532277618	7	
1	C6H11O5P	[M + K]+	C6H11KO5P+	Fatty acids	0.831	Fatty Acids and Conjugates	0.710	Halogenated fatty acids	0.028	Lipids and lipid-like molecules	0.725	Fatty Acyls	0.633					Fatty Acyls	0.633	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	232.998	37	0.620	816703064026279554	816702771653912440	816702771649718135	26	
1	C11H24N2O5	[M + H]+	C11H25N2O5+	Amino acids and Peptides	0.833	Small peptides	0.614	Dipeptides	0.461	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.721	Amino acids and derivatives	0.717	Alpha amino acids and derivatives	0.591	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.175	37	0.621	816703046280173394	816702771750381437	816702771746187132	27	
1	C7H13O5P	[M + K]+	C7H13KO5P+	Fatty acids	0.888	Fatty Acids and Conjugates	0.719	Halogenated fatty acids	0.014	Lipids and lipid-like molecules	0.525							Lipids and lipid-like molecules	0.525	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	247.014	37	0.623	816703049237158951	816702772094314380	816702772085925771	40	
1	C12H8O14	[M + K]+	C12H8KO14+	Shikimates and Phenylpropanoids	0.936	Phenolic acids (C6-C1)	0.949	Simple phenolic acids	0.653	Benzenoids	0.897	Benzene and substituted derivatives	0.636	Benzoic acids and derivatives	0.595	Hydroxybenzoic acid derivatives	0.573	Hydroxybenzoic acid derivatives	0.573	Organic compounds; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acids; Hydroxybenzoic acid derivatives; Benzene and substituted derivatives; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	414.953	38	0.627	816703080128216539	816702772408887195	816702772404692890	58	
1	C9H20N2O4	[M + H]+	C9H21N2O4+	Amino acids and Peptides	0.989	Small peptides	0.989	Dipeptides	0.786	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.941	Amino acids and derivatives	0.938	Alpha amino acids and derivatives	0.707	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	221.148	38	0.631	816703050898103956	816702772505356192	816702772501161887	61	
1	C9H3Cl3O7	[M + Na]+	C9H3Cl3NaO7+	Polyketides	0.710	Phenolic acids (C6-C1)	0.604	Simple phenolic acids	0.645	Benzenoids	0.955	Benzene and substituted derivatives	0.807	Benzoic acids and derivatives	0.844	Halobenzoic acids and derivatives	0.710	3-halobenzoic acids	0.643	Organic compounds; Halobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Aryl chlorides; Chlorobenzenes; Carboxylic acids; Organochlorides; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Aryl halides; Halobenzoic acids and derivatives; Halobenzoic acids; 3-halobenzoic acids and derivatives; 3-halobenzoic acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	350.884	39	0.653	816703082007265380	816702772798957487	816702772794763182	71	
1	C8H2O4P2S3	[M + H]+	C8H3O4P2S3+	Shikimates and Phenylpropanoids	0.655	Tropolones	0.518	Tropolones and derivatives (Shikimate)	0.414	Organoheterocyclic compounds	0.878	Heteroaromatic compounds	0.852					Heteroaromatic compounds	0.852	Organic compounds; Organoheterocyclic compounds; Organooxygen compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	320.865	39	0.658	816703109253470482	816702772975118265	816702772970923960	87	
1	C7H11AsI2O2S	[M + H]+	C7H12AsI2O2S+	Fatty acids	0.586	Fatty acyls	0.092	Halogenated fatty acids	0.034	Organohalogen compounds	0.189	Sulfonyl halides	0.312	Sulfonyl iodides	0.561			Sulfonyl iodides	0.561	Organic compounds; Organosulfur compounds; Organoarsenic compounds; Organometallic compounds; Sulfonyl iodides; Sulfonyls; Organometalloid compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Sulfur-containing organoarsenic compounds; Oxygen-containing organoarsenic compounds; Organic oxygen compounds; Chemical entities	488.787	40	0.663	816703041905513384	816702773071587262	816702773067392957	103	
1	C10H5Br3ClFO5	[M + K]+	C10H5Br3ClFKO5+	Polyketides	0.666	Phenolic acids (C6-C1)	0.273	Simple phenolic acids	0.156	Benzenoids	0.992	Benzene and substituted derivatives	0.946	Benzoic acids and derivatives	0.911	Benzoic acid esters	0.674	Benzoic acid esters	0.674	Organic compounds; Halobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Benzoyl derivatives; Organooxygen compounds; Aryl bromides; Aryl chlorides; Carboxylic acid derivatives; Bromobenzenes; Chlorobenzenes; Carboxylic acid esters; Benzoic acid esters; Organobromides; Organochlorides; Benzene and substituted derivatives; Halophenols; Benzenoids; Bromophenols; Aryl halides; Vinyl halides; Halobenzoic acids and derivatives; 2-halobenzoic acids and derivatives; 3-halobenzoic acids and derivatives; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	534.699	42	0.698	816703061279009620	816702773897865195	816702773897865194	167	
1	C9H10Br2Cl6N2O5S	[M + H]+	C9H11Br2Cl6N2O5S+	Alkaloids	0.661	Proline alkaloids	0.205	Pyrrole alkaloids	0.205	Organohalogen compounds	1.000	Aryl halides	0.813					Aryl halides	0.813	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl chlorides; Sulfonyls; Organobromides; Organochlorides; Aryl halides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	626.690	42	0.706	816703047353915728	816702774241798143	816702774237603838	182	
1	C8H7Cl8O6PS	[M + H]+	C8H8Cl8O6PS+	Shikimates and Phenylpropanoids	0.119	Phenolic acids (C6-C1)	0.034	Simple phenolic acids	0.062	Benzenoids	0.921	Benzene and substituted derivatives	0.922	Halobenzenes	0.947	Chlorobenzenes	0.941	Dichlorobenzenes	0.704	Organic compounds; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Organic thiophosphoric acids and derivatives; Organochlorides; Thiophosphoric acid esters; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	542.729	42	0.707	816703072070956818	816702774338267140	816702774334072835	184	
1	C14H9Br2Cl5O5	[M + K]+	C14H9Br2Cl5KO5+	Polyketides	0.881	Aromatic polyketides	0.419	Depsides and depsidones	0.382	Benzenoids	0.994	Benzene and substituted derivatives	0.926	Benzoic acids and derivatives	0.587	Halobenzoic acids and derivatives	0.555	3-halobenzoic acids and derivatives	0.687	Organic compounds; Halobenzenes; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Benzoyl derivatives; Organooxygen compounds; Aryl bromides; Aryl chlorides; Carboxylic acid derivatives; Bromobenzenes; Chlorobenzenes; Carboxylic acid esters; Organobromides; Organochlorides; Benzene and substituted derivatives; Halophenols; Benzenoids; Dichlorobenzenes; Bromophenols; Chlorophenols; O-bromophenols; O-chlorophenols; Aryl halides; Halobenzoic acids and derivatives; 3-halobenzoic acids and derivatives; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	628.689	43	0.709	816703081826910278	816702774493456398	816702774493456397	186	
1	C12H12Cl12O6	[M + K]+	C12H12Cl12KO6+	Polyketides	0.717	Fatty Acids and Conjugates	0.258	Halogenated fatty acids	0.247	Benzenoids	0.344	Benzene and substituted derivatives	0.454	Halobenzenes	0.658	Chlorobenzenes	0.528	Chlorobenzenes	0.528	Organic compounds; Halobenzenes; Alcohols and polyols; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Chlorobenzenes; Organochlorides; Halohydrins; Chlorohydrins; Aryl halides; Alkyl halides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	710.651	43	0.714	816703044740863495	816702774573148179	816702774573148178	190	
1	C17H9Br3FNO4	[M + K]+	C17H9Br3FKNO4+	Shikimates and Phenylpropanoids	0.913	Coumarins	0.801	Simple coumarins	0.806	Phenylpropanoids and polyketides	0.652	Coumarins and derivatives	0.598					Coumarins and derivatives	0.598	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Lactones; Pyrans; Benzopyrans; Coumarins and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Pyranones and derivatives; Aryl bromides; Aryl fluorides; Carboxylic acid derivatives; Bromobenzenes; Fluorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acid esters; Organobromides; Organofluorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	585.771	44	0.728	816703079243218240	816702774652839960	816702774652839959	201	
1	C12H22N2O11Si2	[M + K]+	C12H22KN2O11Si2+	Carbohydrates	0.998	Aminosugars and aminoglycosides	0.892	Aminosugars	0.816	Organic acids and derivatives	0.897	Carboxylic acids and derivatives	0.825	Amino acids, peptides, and analogues	0.581	Amino acids and derivatives	0.579	Amino acids	0.534	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	465.039	45	0.742	816703081302622087	816702774736726045	816702774736726044	210	
