formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C6H6FO3PS	[M + K]+	C6H6FKO3PS+	Fatty acids	0.075	Pseudoalkaloids (transamidation)	0.061	Halogenated fatty acids	0.030	Organic acids and derivatives	0.905	Organic phosphonic acids and derivatives	0.948	Organic phosphonic acids	0.815			Organic phosphonic acids	0.815	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organofluorides; Organic oxides; Hydrocarbon derivatives; Alkylphosphonofluoridic acids and esters; Organic oxygen compounds; Chemical entities	246.937	36	0.593	816703065993408614	816702771431614318	816702771419031405	6	
1	C16H32N2O10	[M + H]+	C16H33N2O10+	Carbohydrates	0.990	Aminosugars and aminoglycosides	0.765	Amino cyclitols	0.730	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.962	Aminosaccharides	0.885	2-deoxystreptamine aminoglycosides	0.528	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; Polyols; Amines; Primary amines; Alkanolamines; Aminocyclitols and derivatives; Cyclohexylamines; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	413.211	36	0.606	816703091566086588	816702771536471923	816702771532277618	7	
1	C6H11O5P	[M + K]+	C6H11KO5P+	Fatty acids	0.831	Fatty Acids and Conjugates	0.710	Halogenated fatty acids	0.028	Lipids and lipid-like molecules	0.725	Fatty Acyls	0.633					Fatty Acyls	0.633	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	232.998	37	0.620	816703064026279554	816702771653912440	816702771649718135	26	
1	C11H24N2O5	[M + H]+	C11H25N2O5+	Amino acids and Peptides	0.833	Small peptides	0.614	Dipeptides	0.461	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.721	Amino acids and derivatives	0.717	Alpha amino acids and derivatives	0.591	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.175	37	0.621	816703046280173394	816702771750381437	816702771746187132	27	
1	C7H13O5P	[M + K]+	C7H13KO5P+	Fatty acids	0.888	Fatty Acids and Conjugates	0.719	Halogenated fatty acids	0.014	Lipids and lipid-like molecules	0.525							Lipids and lipid-like molecules	0.525	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	247.014	37	0.623	816703049237158951	816702772094314380	816702772085925771	40	
1	C9H20N2O4	[M + H]+	C9H21N2O4+	Amino acids and Peptides	0.989	Small peptides	0.989	Dipeptides	0.786	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.941	Amino acids and derivatives	0.938	Alpha amino acids and derivatives	0.707	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	221.148	38	0.631	816703050898103956	816702772505356192	816702772501161887	61	
2	C13H20FN4O7PS	[M + K]+	C13H20FKN4O7PS+	Carbohydrates	0.993	Nucleosides	0.990	Purine nucleotides	0.366	Organic acids and derivatives	0.970	Carboxylic acids and derivatives	0.743	Amino acids, peptides, and analogues	0.811	Amino acids and derivatives	0.810	Alpha amino acids and derivatives	0.561	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Aryl fluorides; Monocarboxylic acids and derivatives; Aminopyrimidines and derivatives; Diazines; Pentoses; Organofluorides; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Halopyrimidines; Oxolanes; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 1,2-diols; Aryl halides; 6-aminopurines; Alkyl phosphates; Monoalkyl phosphates; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 5'-deoxyribonucleosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	465.039	45	0.742	816703081302622088	816702774736726045	816702774736726044	210	
1	C9H10O5	[M + Na]+	C9H10NaO5+	Polyketides	0.355	Phenolic acids (C6-C1)	0.425	Simple phenolic acids	0.539	Organic acids and derivatives	0.920	Carboxylic acids and derivatives	0.877	Carboxylic acids	0.749			Carboxylic acids	0.749	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	221.041	45	0.750	816703051636301709	816702774829000738	816702774829000737	213	
6	C15H18O10	[M + Na]+	C15H18NaO10+	Shikimates and Phenylpropanoids	0.431	Saccharides	0.193	Iridoids monoterpenoids	0.115	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.978	Sugar acids and derivatives	0.770	O-glucuronides	0.741	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Glucuronides; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Polyols; O-glucuronides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	381.078	46	0.770	816703088533604005	816702775353288768	816702775353288767	232	
2	C23H8Cl8N4O2	[M + Na]+	C23H8Cl8N4NaO2+	Alkaloids	0.944	Tryptophan alkaloids	0.241	Pyrrole alkaloids	0.193	Benzenoids	0.995	Benzene and substituted derivatives	0.819	Halobenzenes	0.739	Chlorobenzenes	0.717	Dichlorobenzenes	0.805	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Lactams; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Diazines; Organochlorides; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	674.808	49	0.820	816703057210533470	816702775831439454	816702775827245149	253	
3	C4H13NP2	[M + H]+	C4H14NP2+	Fatty acids	0.650	Fatty acyls	0.808	Pyridine alkaloids	0.023	Organophosphorus compounds	0.782							Organophosphorus compounds	0.782	Organic compounds; Organophosphorus compounds; Hydrocarbon derivatives; Chemical entities	138.059	51	0.846	816703039644782987	816702776376699009	816702776376699008	271	
1	C8H11NO3	[M + H]+	C8H12NO3+	Alkaloids	0.999	Nicotinic acid alkaloids	0.999	Pyridine alkaloids	0.999	Organoheterocyclic compounds	0.999	Pyridines and derivatives	0.984	Pyridoxines	0.918			Pyridoxines	0.918	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Pyridoxines; Aromatic alcohols; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Hydroxypyridines; Methylpyridines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	170.080	54	0.899	816703049157467125	816702776645134480	816702776645134479	282	
2	C5H5N5O	[M + H]+	C5H6N5O+	Alkaloids	0.979	Pseudoalkaloids (transamidation)	0.872	Purine alkaloids	0.958	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.875	Purines and purine derivatives	0.649			Purines and purine derivatives	0.649	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	152.056	54	0.905	816703040236179960	816702776825489562	816702776825489561	286	
2	C11H21NO7	[M + H]+	C11H22NO7+	Amino acids and Peptides	0.546	Small peptides	0.646	Aminoacids	0.718	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.998	Amino acids and derivatives	0.998	Alpha amino acids	0.985	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Hydroxy acids and derivatives; Amino fatty acids; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Dialkylamines; Alpha amino acids; Amines; Secondary amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	280.138	55	0.910	816703047869815300	816702777014233252	816702777014233251	290	
1	C5H4N4O	[M + H]+	C5H5N4O+	Alkaloids	0.954	Pseudoalkaloids (transamidation)	0.868	Purine alkaloids	0.961	Organoheterocyclic compounds	1.000	Imidazopyrimidines	0.935	Purines and purine derivatives	0.923	Purinones	0.887	6-oxopurines	0.768	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Hypoxanthines; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	137.045	58	0.961	816703047056120011	816702777312028856	816702777307834551	314	
1	C9H11NO3	[M + H]+	C9H12NO3+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	Tyrosine and derivatives	0.790	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	182.080	58	0.961	816703060993796861	816702777379137725	816702777379137724	315	
9	C10H24N2O8S2	[M + H]+	C10H25N2O8S2+	Amino acids and Peptides	0.349	Amino acid glycosides	0.517	Fatty alcohols	0.435	Organic acids and derivatives	0.768	Organic sulfuric acids and derivatives	0.515					Organic sulfuric acids and derivatives	0.515	Organic compounds; Organosulfur compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic sulfuric acids and derivatives; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	365.104	58	0.966	816703066756772195	816702777437857986	816702777437857985	320	
