formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C6H6FO3PS	[M + K]+	C6H6FKO3PS+	Fatty acids	0.075	Pseudoalkaloids (transamidation)	0.061	Halogenated fatty acids	0.030	Organic acids and derivatives	0.905	Organic phosphonic acids and derivatives	0.948	Organic phosphonic acids	0.815			Organic phosphonic acids	0.815	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organofluorides; Organic oxides; Hydrocarbon derivatives; Alkylphosphonofluoridic acids and esters; Organic oxygen compounds; Chemical entities	246.937	36	0.593	816964643019809945	816964165406012804	816964165376652675	6	
1	C16H32N2O10	[M + H]+	C16H33N2O10+	Carbohydrates	0.990	Aminosugars and aminoglycosides	0.765	Amino cyclitols	0.730	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.962	Aminosaccharides	0.885	2-deoxystreptamine aminoglycosides	0.528	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; Polyols; Amines; Primary amines; Alkanolamines; Aminocyclitols and derivatives; Cyclohexylamines; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	413.211	36	0.606	816964648262691053	816964165577979273	816964165573784968	7	
1	C6H11O5P	[M + K]+	C6H11KO5P+	Fatty acids	0.831	Fatty Acids and Conjugates	0.710	Halogenated fatty acids	0.028	Lipids and lipid-like molecules	0.725	Fatty Acyls	0.633					Fatty Acyls	0.633	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	232.998	37	0.620	816964725454676182	816964165703808398	816964165703808397	26	
1	C11H24N2O5	[M + H]+	C11H25N2O5+	Amino acids and Peptides	0.833	Small peptides	0.614	Dipeptides	0.461	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.721	Amino acids and derivatives	0.717	Alpha amino acids and derivatives	0.591	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.175	37	0.621	816964648371742993	816964165812860307	816964165812860306	27	
1	C7H13O5P	[M + K]+	C7H13KO5P+	Fatty acids	0.888	Fatty Acids and Conjugates	0.719	Halogenated fatty acids	0.014	Lipids and lipid-like molecules	0.525							Lipids and lipid-like molecules	0.525	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	247.014	37	0.623	816964672669350467	816964166160987554	816964166160987553	40	
1	C12H8O14	[M + K]+	C12H8KO14+	Shikimates and Phenylpropanoids	0.936	Phenolic acids (C6-C1)	0.949	Simple phenolic acids	0.653	Benzenoids	0.897	Benzene and substituted derivatives	0.636	Benzoic acids and derivatives	0.595	Hydroxybenzoic acid derivatives	0.573	Hydroxybenzoic acid derivatives	0.573	Organic compounds; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acids; Hydroxybenzoic acid derivatives; Benzene and substituted derivatives; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	414.953	38	0.627	816964662980506313	816964166509114801	816964166509114800	58	
1	C9H20N2O4	[M + H]+	C9H21N2O4+	Amino acids and Peptides	0.989	Small peptides	0.989	Dipeptides	0.786	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.941	Amino acids and derivatives	0.938	Alpha amino acids and derivatives	0.707	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	221.148	38	0.631	816964714373321977	816964166609778102	816964166609778101	61	
1	C9H3Cl3O7	[M + Na]+	C9H3Cl3NaO7+	Polyketides	0.710	Phenolic acids (C6-C1)	0.604	Simple phenolic acids	0.645	Benzenoids	0.955	Benzene and substituted derivatives	0.807	Benzoic acids and derivatives	0.844	Halobenzoic acids and derivatives	0.710	3-halobenzoic acids	0.643	Organic compounds; Halobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Aryl chlorides; Chlorobenzenes; Carboxylic acids; Organochlorides; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Aryl halides; Halobenzoic acids and derivatives; Halobenzoic acids; 3-halobenzoic acids and derivatives; 3-halobenzoic acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	350.884	39	0.653	816964726163513753	816964166995654085	816964166995654084	71	
1	C8H2O4P2S3	[M + H]+	C8H3O4P2S3+	Shikimates and Phenylpropanoids	0.655	Tropolones	0.518	Tropolones and derivatives (Shikimate)	0.414	Organoheterocyclic compounds	0.878	Heteroaromatic compounds	0.852					Heteroaromatic compounds	0.852	Organic compounds; Organoheterocyclic compounds; Organooxygen compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	320.865	39	0.658	816964724716478486	816964167201174991	816964167201174990	87	
1	C7H11AsI2O2S	[M + H]+	C7H12AsI2O2S+	Fatty acids	0.586	Fatty acyls	0.092	Halogenated fatty acids	0.034	Organohalogen compounds	0.189	Sulfonyl halides	0.312	Sulfonyl iodides	0.561			Sulfonyl iodides	0.561	Organic compounds; Organosulfur compounds; Organoarsenic compounds; Organometallic compounds; Sulfonyl iodides; Sulfonyls; Organometalloid compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Sulfur-containing organoarsenic compounds; Oxygen-containing organoarsenic compounds; Organic oxygen compounds; Chemical entities	488.787	40	0.663	816964684644090705	816964167314421204	816964167314421203	103	
