formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C6H6FO3PS	[M + K]+	C6H6FKO3PS+	Fatty acids	0.075	Pseudoalkaloids (transamidation)	0.061	Halogenated fatty acids	0.030	Organic acids and derivatives	0.905	Organic phosphonic acids and derivatives	0.948	Organic phosphonic acids	0.815			Organic phosphonic acids	0.815	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organofluorides; Organic oxides; Hydrocarbon derivatives; Alkylphosphonofluoridic acids and esters; Organic oxygen compounds; Chemical entities	246.937	36	0.593	816964643019809945	816964165406012804	816964165376652675	6	
1	C16H32N2O10	[M + H]+	C16H33N2O10+	Carbohydrates	0.990	Aminosugars and aminoglycosides	0.765	Amino cyclitols	0.730	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.962	Aminosaccharides	0.885	2-deoxystreptamine aminoglycosides	0.528	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; Polyols; Amines; Primary amines; Alkanolamines; Aminocyclitols and derivatives; Cyclohexylamines; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	413.211	36	0.606	816964648262691053	816964165577979273	816964165573784968	7	
1	C6H11O5P	[M + K]+	C6H11KO5P+	Fatty acids	0.831	Fatty Acids and Conjugates	0.710	Halogenated fatty acids	0.028	Lipids and lipid-like molecules	0.725	Fatty Acyls	0.633					Fatty Acyls	0.633	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	232.998	37	0.620	816964725454676182	816964165703808398	816964165703808397	26	
1	C11H24N2O5	[M + H]+	C11H25N2O5+	Amino acids and Peptides	0.833	Small peptides	0.614	Dipeptides	0.461	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.721	Amino acids and derivatives	0.717	Alpha amino acids and derivatives	0.591	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.175	37	0.621	816964648371742993	816964165812860307	816964165812860306	27	
1	C7H13O5P	[M + K]+	C7H13KO5P+	Fatty acids	0.888	Fatty Acids and Conjugates	0.719	Halogenated fatty acids	0.014	Lipids and lipid-like molecules	0.525							Lipids and lipid-like molecules	0.525	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	247.014	37	0.623	816964672669350467	816964166160987554	816964166160987553	40	
1	C9H20N2O4	[M + H]+	C9H21N2O4+	Amino acids and Peptides	0.989	Small peptides	0.989	Dipeptides	0.786	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.941	Amino acids and derivatives	0.938	Alpha amino acids and derivatives	0.707	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	221.148	38	0.631	816964714373321977	816964166609778102	816964166609778101	61	
2	C13H20FN4O7PS	[M + K]+	C13H20FKN4O7PS+	Carbohydrates	0.993	Nucleosides	0.990	Purine nucleotides	0.366	Organic acids and derivatives	0.970	Carboxylic acids and derivatives	0.743	Amino acids, peptides, and analogues	0.811	Amino acids and derivatives	0.810	Alpha amino acids and derivatives	0.561	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Aryl fluorides; Monocarboxylic acids and derivatives; Aminopyrimidines and derivatives; Diazines; Pentoses; Organofluorides; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Halopyrimidines; Oxolanes; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 1,2-diols; Aryl halides; 6-aminopurines; Alkyl phosphates; Monoalkyl phosphates; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 5'-deoxyribonucleosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	465.039	45	0.742	816964693531822164	816964169419961907	816964169419961906	210	
1	C9H10O5	[M + Na]+	C9H10NaO5+	Polyketides	0.355	Phenolic acids (C6-C1)	0.425	Simple phenolic acids	0.539	Organic acids and derivatives	0.920	Carboxylic acids and derivatives	0.877	Carboxylic acids	0.749			Carboxylic acids	0.749	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	221.041	45	0.750	816964689761142237	816964169524819512	816964169524819511	213	
6	C15H18O10	[M + Na]+	C15H18NaO10+	Shikimates and Phenylpropanoids	0.431	Saccharides	0.193	Iridoids monoterpenoids	0.115	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.978	Sugar acids and derivatives	0.770	O-glucuronides	0.741	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Glucuronides; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Polyols; O-glucuronides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	381.078	46	0.770	816964723013590679	816964170208491094	816964170208491093	232	
2	C23H8Cl8N4O2	[M + Na]+	C23H8Cl8N4NaO2+	Alkaloids	0.944	Tryptophan alkaloids	0.241	Pyrrole alkaloids	0.193	Benzenoids	0.995	Benzene and substituted derivatives	0.819	Halobenzenes	0.739	Chlorobenzenes	0.717	Dichlorobenzenes	0.805	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Lactams; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Diazines; Organochlorides; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	674.808	49	0.820	816964659310489615	816964170816665204	816964170816665203	253	
