CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3600	3969	1	0.7038	0.146
3969	4362	1	0.7993	-0.146
3988	4362	1	0.7695	0.000
3969	3988	1	0.8847	-0.146
3988	4059	1	0.8399	0.000
3969	4059	1	0.8295	-0.146
2822	3194	2	0.831	-52.031
2884	3194	2	0.8764	-26.016
2994	3194	2	0.9177	-26.016
3155	3194	2	0.8284	-12.000
3194	3282	2	0.9179	12.000
3194	3336	2	0.8606	24.000
3194	3350	2	0.8564	-2.015
3194	3470	2	0.9196	-2.016
3194	4295	2	0.8186	-238.229
2822	3336	2	0.8961	-28.031
2994	3336	2	0.9124	-2.016
3077	3336	2	0.8414	24.000
3155	3336	2	0.8717	12.000
3193	3336	2	0.8903	-0.000
3282	3336	2	0.9289	12.000
3336	3470	2	0.9067	-26.016
3336	3489	2	0.8383	-264.245
3336	4295	2	0.8419	-262.229
2802	3193	2	0.836	236.213
2822	3193	2	0.873	-28.031
2884	3193	2	0.8589	-2.016
3077	3193	2	0.8852	24.000
3193	3282	2	0.8678	-12.000
3193	3350	2	0.8711	-26.015
3193	3489	2	0.8808	-264.245
3193	4295	2	0.8767	-262.229
2822	3470	2	0.8621	-54.047
2884	3470	2	0.8821	-28.031
2994	3470	2	0.9444	-28.031
3077	3470	2	0.8297	-2.016
3155	3470	2	0.8492	-14.016
3282	3470	2	0.9343	-14.016
3350	3470	2	0.841	-0.000
2802	3489	2	0.9008	-28.031
2802	4064	2	0.9026	-26.016
2802	4295	2	0.9023	-26.016
2822	2884	2	0.8364	-26.016
2822	2994	2	0.8549	-26.016
2822	3077	2	0.8521	-52.031
2822	3282	2	0.8607	-40.031
2884	2994	2	0.904	0.000
2884	3077	2	0.9186	-26.016
2884	3155	2	0.8891	-14.016
2884	3282	2	0.8925	-14.016
2884	3350	2	0.9046	-28.031
2884	4064	2	0.8957	-264.245
2994	3077	2	0.8578	-26.016
3077	3282	2	0.8625	12.000
3077	3350	2	0.829	-2.015
3077	4064	2	0.8468	-238.229
3077	4295	2	0.8647	-238.229
2994	3282	2	0.966	-14.016
3155	3282	2	0.8908	0.000
3282	3350	2	0.8766	-14.015
2994	4064	2	0.8643	-264.245
3350	4064	2	0.8516	-236.214
3489	4064	2	0.9325	2.015
4064	4295	2	0.8719	0.000
4064	4460	2	0.847	-28.039
2994	3155	2	0.8503	-14.016
2994	3350	2	0.85	-28.031
3489	4295	2	0.9197	2.016
3350	3489	2	0.8393	-238.229
3489	4460	2	0.859	-26.024
4268	4391	3	0.7086	-144.042
4268	4392	3	0.7552	-162.052
4391	4392	3	0.7629	-18.010
1029	1171	4	0.8256	-71.037
