"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycine, serine and threonine metabolism","29","6","4","0.65891","0.016348","0.11572","0.0003919","3","0.03","0.343308","1","0.0082299","P1","EC00084;EC00054;EC00010"
"Tryptophan metabolism","10","5","3","0.65891","0.016348","0.11572","0.0003919","3","0.03","0.343308","1","0.0082299","P2","EC00010;EC000119;EC00052"
"Methane metabolism","25","3","2","0.39535","0.045527","0.33009","0.00044783","9","0.09","0.865013","1","0.00850877","P3","EC00078;EC00076"
"Monobactam biosynthesis","8","2","1","0.26357","0.24709","1","0.0011479","28","0.28","1","1","0.0206622","P4","EC00054"
"beta-Alanine metabolism","8","2","1","0.26357","0.24709","1","0.0011479","17","0.17","1","1","0.0206622","P5","EC00017"
"Cysteine and methionine metabolism","42","8","2","1.0543","0.28399","0.66428","0.0013698","35","0.35","1","1","0.0219168","P6","EC00078;EC00054"
"Tyrosine metabolism","17","8","2","1.0543","0.28399","0.66428","0.0013698","22","0.22","1","1","0.0219168","P7","EC00013;EC000106"
"Phenylalanine, tyrosine and tryptophan biosynthesis","23","8","2","1.186","0.33742","0.70867","0.0017749","42","0.42","1","1","0.0248486","P8","EC00013;EC00010"
"Pantothenate and CoA biosynthesis","21","8","2","1.3178","0.39001","0.74751","0.0022996","29","0.29","1","1","0.0298948","P9","EC00017;EC00074"
"Arginine biosynthesis","20","3","1","0.52713","0.43586","1","0.0028928","22","0.22","1","1","0.0347136","P10","EC00065"
"Pyrimidine metabolism","45","5","1","0.52713","0.43586","1","0.0028928","18","0.18","1","1","0.0347136","P11","EC00017"
"Alanine, aspartate and glutamate metabolism","18","4","1","0.52713","0.43586","1","0.0028928","30","0.3","1","1","0.0347136","P12","EC00047"
"Lysine biosynthesis","13","4","1","0.52713","0.43586","1","0.0028928","37","0.37","1","1","0.0347136","P13","EC00054"
"Novobiocin biosynthesis","3","3","1","0.52713","0.43586","1","0.0028928","37","0.37","1","1","0.0347136","P14","EC00013"
"Vitamin B6 metabolism","11","4","1","0.52713","0.43586","1","0.0028928","17","0.17","1","1","0.0347136","P15","EC00023"
"Fructose and mannose metabolism","13","8","1","0.65891","0.51258","1","0.0042871","49","0.49","1","1","0.0347136","P16","EC00070"
"Arginine and proline metabolism","24","8","1","0.7907","0.57941","1","0.0061104","44","0.44","1","1","0.0347136","P17","EC00024"
"Biotin metabolism","7","4","1","1.0543","0.68804","1","0.011235","53","0.53","1","1","0.04494","P18","EC00077"
"Valine, leucine and isoleucine biosynthesis","22","10","2","1.186","0.73187","1","0.0146","59","0.59","1","1","0.04494","P19","EC00074"
"Amino sugar and nucleotide sugar metabolism","27","13","2","1.5814","0.83115","1","0.028014","45","0.45","1","1","0.056028","P20","EC00047"
"Purine metabolism","72","18","1","1.9767","0.89504","1","0.046067","67","0.67","1","1","0.056028","P21","EC00023"
