p.value,m.z,t.score,r.t,pos_inx
8.1379806236302e-09,630.54162,-191.276927774301,9.3353,TRUE
6.66977840634207e-08,488.25604,130.34753656007,8.3609,TRUE
6.65399042327141e-07,1046.53889,-57.3918371314079,8.7223,TRUE
7.6549071727939e-07,230.0776,54.1465868284183,4.992,TRUE
1.21313197103212e-06,657.45619,85.6088045014811,8.8078,TRUE
3.0421696780848e-06,145.16894,91.4170824549885,0.7223,TRUE
4.62548963566501e-06,699.2272,-47.6387787532581,8.4696,TRUE
4.86197376108287e-06,201.14654,-37.3289961168656,4.1744,TRUE
4.97832883117275e-06,392.31168,41.0880740730216,9.6271,TRUE
5.94136712011731e-06,190.06972,37.7146884064307,4.9589,TRUE
6.06084363981845e-06,390.29659,41.9810163859792,9.0046,TRUE
6.56395497650211e-06,398.38469,30.8714660864407,7.5608,TRUE
6.84204740917194e-06,453.20505,-37.915719904088,2.1028,TRUE
7.75073550809673e-06,423.27103,47.1638329281489,7.8798,TRUE
8.26759305778131e-06,559.16515,-31.0626843901427,1.4098,TRUE
8.43260373549973e-06,196.09579,34.9936246030164,5.9245,TRUE
8.58050769217742e-06,195.10966,105.859800868364,1.7172,TRUE
9.45728851473341e-06,548.2981,-62.5810549369203,9.5124,TRUE
1.05320621529574e-05,440.28729,31.39475320057,8.6611,TRUE
1.06737523715932e-05,788.35284,31.4574457549819,6.1496,TRUE
1.20417786205968e-05,370.33018,42.9179497607686,9.6238,TRUE
1.2329870937929e-05,499.32506,-32.2380941289922,8.6476,TRUE
1.85182006981562e-05,406.14654,-32.4700047231476,1.4101,TRUE
1.89361182643691e-05,385.29105,27.4691664570435,9.0484,TRUE
1.94455253512906e-05,341.30372,24.1430381687235,9.8582,TRUE
2.22084833666768e-05,578.49203,23.9826472681536,8.9638,TRUE
2.33494979140044e-05,346.1957,-26.3022698253335,2.2757,TRUE
2.39266655043875e-05,348.17488,-30.0812686526492,1.2727,TRUE
2.53732530215185e-05,361.91882,22.3613103653874,0.7922,TRUE
2.57661476967428e-05,573.32242,-24.7524557878723,7.3331,TRUE
3.09771172932691e-05,136.06117,22.1935093072132,0.863,TRUE
3.16391123538267e-05,518.20424,22.8576338926957,7.9456,TRUE
3.39927857861331e-05,612.80031,-30.2162949418852,3.6644,TRUE
3.85102223263611e-05,175.00136,91.8278517316825,3.033,TRUE
3.92230924501539e-05,705.33243,-32.3857151152053,8.4654,TRUE
4.09835444521561e-05,174.11146,30.7744321487138,0.7761,TRUE
4.31770857363583e-05,233.09527,134.583704020571,3.0274,TRUE
4.3866710459108e-05,530.32318,-24.7740140084245,9.3769,TRUE
4.61279629979255e-05,349.13817,-23.4664673749528,2.3303,TRUE
4.69079785102184e-05,794.01041,47.5450198977742,6.1472,TRUE
4.7022791893883e-05,707.86601,-19.0895860657963,4.4916,TRUE
5.03514346911674e-05,508.40768,18.9521200562091,9.3725,TRUE
