"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycine, serine and threonine metabolism","14","3","3","0.39252","0.0018339","0.038381","0.00044574","1","0.01","0.0330102","0.690858","0.00802332","P1","EC00071;EC00049;EC00010"
"Cysteine and methionine metabolism","31","8","3","1.0467","0.067842","0.25025","0.0005943","10","0.1","1","1","0.0101031","P2","EC00049;EC000107;EC00071"
"Lysine biosynthesis","16","6","2","0.78505","0.17563","0.54947","0.00095773","14","0.14","1","1","0.01532368","P3","EC00049;EC00069"
"Monobactam biosynthesis","6","2","1","0.26168","0.24564","1","0.0013134","28","0.28","1","1","0.019701","P4","EC00049"
"Styrene degradation","6","2","1","0.26168","0.24564","1","0.0013134","11","0.11","1","1","0.019701","P5","EC00086"
"Galactose metabolism","36","21","3","1.0467","0.28065","0.65849","0.0015412","19","0.19","1","1","0.0200356","P6","EC00048;EC00042"
"Phenylalanine, tyrosine and tryptophan biosynthesis","13","7","2","1.0467","0.28065","0.65849","0.0015412","35","0.35","1","1","0.0200356","P7","EC00013;EC00010"
"Arginine and proline metabolism","11","4","1","0.39252","0.34622","1","0.0020882","23","0.23","1","1","0.0229702","P8","EC00024"
"Pyrimidine metabolism","37","4","1","0.52336","0.43423","1","0.0031711","17","0.17","1","1","0.031711","P9","EC00017"
"Alanine, aspartate and glutamate metabolism","19","4","1","0.52336","0.43423","1","0.0031711","27","0.27","1","1","0.031711","P10","EC00042"
"Vitamin B6 metabolism","8","4","1","0.52336","0.43423","1","0.0031711","18","0.18","1","1","0.031711","P11","EC00023"
"D-Amino acid metabolism","13","5","2","0.65421","0.51113","1","0.0046227","29","0.29","1","1","0.0323589","P12","EC00060"
"Fructose and mannose metabolism","21","12","2","0.78505","0.57823","1","0.0064983","57","0.57","1","1","0.0389898","P13","EC00048"
"Tyrosine metabolism","8","5","1","0.78505","0.57823","1","0.0064983","52","0.52","1","1","0.0389898","P14","EC00013"
"Valine, leucine and isoleucine biosynthesis","10","5","1","0.91589","0.63669","1","0.0088441","54","0.54","1","1","0.0389898","P15","EC000100"
"Amino sugar and nucleotide sugar metabolism","26","13","2","1.0467","0.68755","1","0.011695","35","0.35","1","1","0.0389898","P16","EC00042"
"Phenylalanine metabolism","11","7","1","1.3084","0.77006","1","0.018992","67","0.67","1","1","0.0389898","P17","EC00086"
"Purine metabolism","56","19","1","1.9626","0.89641","1","0.046273","66","0.66","1","1","0.046273","P18","EC00023"
