id,mz,rt,log2FC,t.score,p.value
3589,630.54162,9.3353,5.3171803063816165,-191.27692777430147,8.137980623630201e-09
2716,488.25604,8.3609,-10.115887615190493,130.34753656006993,6.669778406342072e-08
2988,1046.53889,8.7223,6.616952343608297,-57.39183713140789,6.653990423271411e-07
1138,230.0776,4.992,-3.963484711752585,54.14658682841824,7.654907172793899e-07
3073,657.45619,8.8078,-4.370997410694118,85.6088045014811,1.213131971032122e-06
193,145.16894,0.7223,-7.064126234050745,91.41708245498847,3.0421696780848013e-06
2784,699.2272,8.4696,4.513499458914882,-47.638778753258045,4.625489635665005e-06
778,201.14654,4.1744,4.466627759012622,-37.328996116865575,4.8619737610828705e-06
3865,392.31168,9.6271,-5.877896695806433,41.08807407302162,4.978328831172753e-06
1142,190.06972,4.9589,-6.249910441590816,37.714688406430675,5.941367120117311e-06
3261,390.29659,9.0046,-4.768022226378743,41.98101638597917,6.060843639818452e-06
2292,398.38469,7.5608,-2.6278925459960982,30.87146608644072,6.563954976502113e-06
530,453.20505,2.1028,7.841755605868679,-37.91571990408802,6.842047409171935e-06
2508,423.27103,7.8798,-3.8104434135304026,47.163832928148935,7.750735508096726e-06
427,559.16515,1.4098,6.085661199241575,-31.062684390142685,8.267593057781304e-06
1537,196.09579,5.9245,-1.9936412281363358,34.9936246030164,8.43260373549973e-06
485,195.10966,1.7172,-9.887111177992947,105.85980086836439,8.580507692177421e-06
3757,548.2981,9.5124,4.104147707027219,-62.581054936920246,9.457288514733407e-06
2939,440.28729,8.6611,-3.4088365603025217,31.394753200569948,1.0532062152957387e-05
1628,788.35284,6.1496,-6.479774464375119,31.457445754981926,1.0673752371593215e-05
3861,370.33018,9.6238,-4.841149584027433,42.91794976076857,1.204177862059679e-05
2914,499.32506,8.6476,3.6063228618275365,-32.23809412899216,1.2329870937928959e-05
425,406.14654,1.4101,7.533107348262966,-32.470004723147575,1.851820069815615e-05
3411,385.29105,9.0484,-0.7243072144175606,27.469166457043492,1.893611826436906e-05
4028,341.30372,9.8582,-1.2772992824060339,24.14303816872349,1.944552535129064e-05
3222,578.49203,8.9638,-0.43149100630177983,23.982647268153602,2.2208483366676842e-05
566,346.1957,2.2757,5.044324518135738,-26.30226982533351,2.334949791400436e-05
395,348.17488,1.2727,5.19565092382906,-30.081268652649158,2.3926665504387527e-05
244,361.91882,0.7922,-2.9261882594007305,22.361310365387443,2.5373253021518484e-05
2195,573.32242,7.3331,7.994006779553999,-24.752455787872343,2.5766147696742772e-05
273,136.06117,0.863,-0.6357497132672982,22.193509307213176,3.097711729326907e-05
2517,518.20424,7.9456,-6.931292348409933,22.85763389269574,3.163911235382668e-05
648,612.80031,3.6644,6.699917953308084,-30.216294941885206,3.3992785786133104e-05
620,175.00136,3.033,-8.057887189535279,91.82785173168249,3.851022232636112e-05
2781,705.33243,8.4654,6.3101276231819075,-32.38571511520527,3.922309245015385e-05
236,174.11146,0.7761,-8.301033168925404,30.774432148713785,4.0983544452156066e-05
618,233.09527,3.0274,-9.083538903586344,134.5837040205712,4.317708573635831e-05
3660,530.32318,9.3769,6.917641787824781,-24.774014008424512,4.3866710459107984e-05
575,349.13817,2.3303,5.245664223527668,-23.466467374952845,4.612796299792549e-05
1630,794.01041,6.1472,-9.115495217211596,47.54501989777415,4.690797851021844e-05
925,707.86601,4.4916,5.010331278265826,-19.089586065796283,4.702279189388295e-05
3644,508.40768,9.3725,-1.1407631162047895,18.952120056209086,5.035143469116743e-05
998,508.27976,4.696,4.6010505384740465,-19.023764483666653,5.264994063840556e-05
602,360.12767,2.7092,-11.4003336977162,42.50601900026193,5.493428826887098e-05
2353,299.2574,7.6947,-2.3750568507379537,24.16584417879008,5.639380216227209e-05
4086,430.32999,9.9551,-5.273013998636789,49.47693446030953,5.778470742548413e-05
1883,485.24702,6.666,-2.422789875035106,18.361740616211634,5.895729390285823e-05
672,384.8899,3.8396,5.594335369703935,-21.331272673617164,6.313644147092035e-05
3339,907.57563,9.0815,1.2410659610253045,-21.633971426882276,6.425467130343475e-05
3054,402.27708,8.8078,-4.1557077462792815,72.84763543848926,6.459243525931074e-05
650,296.13204,3.6743,5.167054606841717,-30.553641677846322,6.507735957610161e-05
1624,795.34588,6.1436,-6.495071680346836,22.256504044574694,6.809376214105132e-05
2934,353.17393,8.5942,-2.333237745025987,17.40720923029503,6.886062324696124e-05
2170,397.25334,7.2647,-1.7041297254695946,19.17479901110215,7.000951391188085e-05
718,345.53697,3.9697,3.127376290854571,-17.879459099225137,7.060003957094537e-05
3662,402.29722,9.3738,-6.379571909653301,66.09740324887319,7.190225853405471e-05
853,476.24266,4.3232,4.279996082269439,-18.404937286119765,7.58840859302461e-05
588,506.2449,2.4613,7.861279607938135,-22.60408890683105,7.761531002432322e-05
231,260.05192,0.7708,2.8143011297509766,-25.737254118403158,7.812842114551193e-05
3323,346.2703,9.0677,-1.5287055118553017,16.611868617350485,7.91015925904802e-05
4311,536.36932,10.4531,4.497492479370827,-17.13561617321539,7.953929052158507e-05
438,360.12756,1.4191,-7.664960499829643,16.808131324728258,8.044738950568397e-05
3255,368.30811,8.9856,-7.421565362517245,53.55048484939653,8.239891117658119e-05
3283,448.28053,9.0352,-1.516280097381605,23.86261970166906,8.625706663128615e-05
3198,994.61903,8.9515,7.902231488015255,-27.814086233140884,8.860439490247554e-05
3128,515.31711,8.8534,-3.2508135768668396,21.448462209959924,9.003019797409333e-05
2837,321.2392,8.5388,-2.1906524936095817,17.510203350153144,9.186936808700333e-05
1709,364.24677,6.3149,-2.9227885658661727,26.899110973200095,9.188205810947291e-05
1320,249.14502,5.3842,-1.6077182505375749,20.77342229886052,9.744985951130698e-05
2807,615.44602,8.5111,-2.3529447677484496,34.65633356792657,0.00010147656052199724
3104,321.23843,8.844,-4.43937243144231,47.13831449960678,0.0001027681299528376
3966,497.25319,9.7584,3.094879840698851,-15.640992692080689,0.00010434129506496901
415,293.08192,1.3828,3.3837456143118114,-21.09978912887535,0.0001118602773824413
3669,424.28069,9.3843,-8.568511370608741,55.823791162477484,0.00011211688425292707
3051,325.25279,8.7973,-1.9513453425367597,33.48431801953482,0.00011669338776479399
665,203.05479,3.7528,-7.566543819811547,46.352038036215546,0.0001225350582445871
858,642.33656,4.3352,7.379448838697625,-29.86037415563995,0.0001273119204211463
3103,299.25679,8.844,-4.514279696997882,39.62163238971772,0.00012735306157055597
2856,641.47084,8.547,-7.22949118923957,18.599737286163474,0.00012850474023929002
2658,409.27225,8.2404,-5.799725095507952,22.150712614569557,0.0001285963653302788
4326,432.34577,10.4878,-8.224666277603653,15.52359390458016,0.00013186832651485348
1025,838.64276,4.736,-5.735764515627728,50.958314491493134,0.00013327941610384735
884,481.74284,4.3884,2.2442732957296947,-14.442414131089759,0.0001338314401809318
681,586.30523,3.8524,6.031922671020698,-33.20701093484912,0.00013457758339507998
1572,453.17153,6.0195,2.451457557238991,-16.331758192022814,0.00013640223463184278
2843,183.13675,8.5406,-7.009371199485457,20.365236368111717,0.000137352556240177
3197,1055.64529,8.9562,3.602323426399923,-25.928261891953188,0.00014355362005411668
1621,799.67232,6.14,-8.147064649070979,40.99067136693264,0.00014776093935400412
421,558.15841,1.4067,5.615866488188493,-21.575080463221695,0.00015053073759320617
2352,317.26774,7.6935,-2.498044738551817,18.18729333553467,0.00015337082197820602
2707,699.35407,8.3503,2.0945291630399785,-14.154714001412556,0.0001553628641075454
187,878.57244,0.7106,-1.6091313424881255,24.766750549618752,0.0001555333305651044
2567,418.30485,8.0682,-3.068276582743546,28.976420858862074,0.0001621345223480721
2351,339.24947,7.6929,-2.1887100915662856,16.915719701214506,0.00016493409391915448
3319,1134.68789,9.0649,6.09245077897684,-30.65399611427038,0.00016762064439901621
4120,267.26658,10.0102,-1.001824231135224,13.636278720607057,0.00016768309737686966
589,369.11398,2.4689,4.544308142352476,-20.99673720115846,0.0001738230588374733
584,174.10158,2.4212,-9.327468206344232,30.50085055513844,0.00017398894821005965
762,324.18769,4.1021,4.968404562289894,-29.801749563467414,0.0001814571367954557
733,379.87112,4.0451,3.1872160510642,-13.525324835916024,0.0001828566341183897
1172,350.20586,5.056,2.252016269205222,-13.237350997266015,0.00019470438500551973
230,191.98135,0.7726,-2.7622593253077556,20.085599725209043,0.00019618859078573348
921,573.26576,4.4869,4.988465725475952,-13.44842856182373,0.00019763403230283966
3151,552.49661,8.8893,-6.673260219229781,13.090424398929537,0.0002157373976691205
734,569.30174,4.0416,4.639331645096085,-27.130339093814023,0.0002245773808183222
2435,404.33558,7.8198,-1.537010364212473,12.606659317208619,0.0002279417256332772
3795,494.32253,9.5464,-1.7090598629257912,13.653540964959975,0.00023201876047790302
3958,404.31441,9.7551,-5.567117097629976,52.70092465968844,0.0002347867984440549
1007,549.26526,4.7225,3.943453343685082,-14.211871089933453,0.00023543099692129157
815,465.9442,4.2583,1.7527710408854742,-13.265117368186633,0.00023755443561640293
564,454.68883,2.2516,3.090199593105064,-16.17617579840365,0.00023862935567478888
1112,373.24412,4.9418,2.5500307989648743,-16.575633135221118,0.0002422620277968004
518,410.08817,2.0512,4.897798924324414,-16.18336737830818,0.0002448255075757734
2811,631.42268,8.5135,-2.150747178369964,18.20890138252368,0.00024743117478198744
4351,355.2506,10.5349,-1.682293243034442,13.131143690583981,0.00025269816328410026
599,421.16657,2.6519,4.965286779965043,-18.2362182290506,0.0002565312804342343
1251,375.20098,5.2281,4.479381145878507,-21.163061692636997,0.00026275832529417233
3468,502.28866,9.2158,-1.1353483269175673,15.272265475921532,0.00026915184505996116
102,826.63059,0.6664,-1.4853635053675314,13.00099583730303,0.0002760697333955229
