"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycine, serine and threonine metabolism","18","3","3","0.33962","0.0011404","0.027939","0.00042812","1","0.01","0.0205272","0.502902","0.00770616","P1","EC00066;EC00046;EC00010"
"Cysteine and methionine metabolism","34","8","3","0.90566","0.045414","0.1939","0.00052016","8","0.08","0.772038","1","0.00884272","P2","EC00062;EC00046;EC00066"
"Lysine biosynthesis","17","6","2","0.67925","0.13658","0.49053","0.00078045","10","0.1","1","1","0.0124872","P3","EC00046;EC00062"
"Monobactam biosynthesis","8","2","1","0.22642","0.21456","1","0.0011107","24","0.24","1","1","0.0166605","P4","EC00046"
"Phenylalanine, tyrosine and tryptophan biosynthesis","21","8","2","1.0189","0.26932","0.64219","0.0014284","35","0.35","1","1","0.0199976","P5","EC00013;EC00010"
"Pyrimidine metabolism","34","3","1","0.33962","0.30518","1","0.0016875","11","0.11","1","1","0.0219375","P6","EC00017"
"Arginine and proline metabolism","7","4","1","0.33962","0.30518","1","0.0016875","16","0.16","1","1","0.0219375","P7","EC00024"
"Galactose metabolism","33","20","3","1.1321","0.31545","0.68277","0.0017705","15","0.15","1","1","0.0219375","P8","EC00045;EC00040"
"Arginine biosynthesis","15","3","1","0.45283","0.38613","1","0.0024742","19","0.19","1","1","0.024742","P9","EC00054"
"Alanine, aspartate and glutamate metabolism","20","4","1","0.45283","0.38613","1","0.0024742","22","0.22","1","1","0.024742","P10","EC00040"
"Novobiocin biosynthesis","3","3","1","0.45283","0.38613","1","0.0024742","26","0.26","1","1","0.024742","P11","EC00013"
"Vitamin B6 metabolism","9","4","1","0.45283","0.38613","1","0.0024742","12","0.12","1","1","0.024742","P12","EC00023"
"Fructose and mannose metabolism","18","9","2","0.67925","0.52271","1","0.0048424","51","0.51","1","1","0.0290544","P13","EC00045"
"Tyrosine metabolism","14","6","1","0.67925","0.52271","1","0.0048424","44","0.44","1","1","0.0290544","P14","EC00013"
"Valine, leucine and isoleucine biosynthesis","10","5","1","0.79245","0.57998","1","0.0065015","45","0.45","1","1","0.0290544","P15","EC00063"
"Amino sugar and nucleotide sugar metabolism","29","13","2","0.90566","0.63089","1","0.0085218","29","0.29","1","1","0.0290544","P16","EC00040"
"Pantothenate and CoA biosynthesis","18","7","1","1.0189","0.67609","1","0.010929","55","0.55","1","1","0.0290544","P17","EC00063"
"Purine metabolism","55","16","1","1.4717","0.81071","1","0.024708","56","0.56","1","1","0.0290544","P18","EC00023"
