"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycine, serine and threonine metabolism","28","5","4","0.54321","0.0080629","0.08197","0.00039367","2","0.02","0.1854467","1","0.00905441","P1","EC000105;EC00067;EC00010"
"Cysteine and methionine metabolism","42","8","3","1.0864","0.077684","0.27728","0.00054307","12","0.12","1","1","0.01194754","P2","EC00090;EC00067;EC000105"
"Lysine biosynthesis","15","5","2","0.67901","0.1367","0.50518","0.00071546","16","0.16","1","1","0.01502466","P3","EC00090;EC00067"
"Biosynthesis of unsaturated fatty acids","23","9","3","2.1728","0.15254","0.34334","0.0007708","47","0.47","1","1","0.015416","P4","EC000112;EC00081;EC000114;EC000116"
"Methane metabolism","23","2","1","0.2716","0.25389","1","0.0012489","10","0.1","1","1","0.0237291","P5","EC00093"
"Phenylalanine, tyrosine and tryptophan biosynthesis","21","8","2","1.2222","0.35182","0.72305","0.0020136","33","0.33","1","1","0.0362448","P6","EC00013;EC00010"
"Tryptophan metabolism","30","3","1","0.40741","0.35648","1","0.0020606","26","0.26","1","1","0.0362448","P7","EC00010"
"D-Amino acid metabolism","4","2","1","0.40741","0.35648","1","0.0020606","39","0.39","1","1","0.0362448","P8","EC000149"
"Arginine biosynthesis","18","3","1","0.54321","0.44552","1","0.0032231","19","0.19","1","1","0.0483465","P9","EC00075"
"Pyrimidine metabolism","35","4","1","0.54321","0.44552","1","0.0032231","15","0.15","1","1","0.0483465","P10","EC00017"
"Alanine, aspartate and glutamate metabolism","22","4","1","0.54321","0.44552","1","0.0032231","23","0.23","1","1","0.0483465","P11","EC00059"
"Fructose and mannose metabolism","14","8","2","0.67901","0.52273","1","0.0048102","40","0.4","1","1","0.0577224","P12","EC00065"
"Ubiquinone and other terpenoid-quinone biosynthesis","5","4","1","0.67901","0.52273","1","0.0048102","33","0.33","1","1","0.0577224","P13","EC00013"
"Tyrosine metabolism","9","4","1","0.67901","0.52273","1","0.0048102","38","0.38","1","1","0.0577224","P14","EC00013"
"Arginine and proline metabolism","25","8","1","0.81481","0.58961","1","0.0068883","32","0.32","1","1","0.0619947","P15","EC00024"
"Phenylalanine metabolism","5","4","1","0.81481","0.58961","1","0.0068883","48","0.48","1","1","0.0619947","P16","EC000128"
"Vitamin B6 metabolism","12","6","1","0.81481","0.58961","1","0.0068883","17","0.17","1","1","0.0619947","P17","EC00023"
"Sphingolipid metabolism","9","5","3","2.037","0.63652","0.88761","0.0089384","59","0.59","1","1","0.0619947","P18","EC000157;EC00049"
"Amino sugar and nucleotide sugar metabolism","21","12","1","1.0864","0.69752","1","0.012719","33","0.33","1","1","0.063595","P19","EC00059"
"Biotin metabolism","6","4","1","1.0864","0.69752","1","0.012719","47","0.47","1","1","0.063595","P20","EC00094"
"Valine, leucine and isoleucine biosynthesis","20","10","2","1.2222","0.74073","1","0.016533","51","0.51","1","1","0.063595","P21","EC00091"
"Pantothenate and CoA biosynthesis","20","7","1","1.2222","0.74073","1","0.016533","54","0.54","1","1","0.063595","P22","EC00091"
"Purine metabolism","65","16","1","1.9012","0.88203","1","0.044463","63","0.63","1","1","0.063595","P23","EC00023"
