Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
289.06869,(-)-Epigallocatechin,M-H2O+H[1+],5.3303,0.00193926877000195,EC0001
177.12632,(-)-Isoborneol,M+Na[1+],6.8203,0.00127833522998344,EC0002
177.12637,(-)-Isoborneol,M+Na[1+],6.6193,0.00132833522999931,EC0002
151.1107,(-)-Pinocarvone,M+H[1+],6.8184,0.0010415367700034,EC0003
135.11585,(+)-Camphor,M-H2O+H[1+],6.8268,0.00094160077000538,EC0004
135.11585,(+)-Fenchone,M-H2O+H[1+],6.8268,0.00094160077000538,EC0004
177.12632,(+)-Menthone,M+Na[1+],6.8203,0.00127833522998344,EC0002
177.12637,(+)-Menthone,M+Na[1+],6.6193,0.00132833522999931,EC0002
171.10051,(+/-)-Methyl 5-acetoxyhexanoate,M-H2O+H[1+],6.8184,0.00102546676998827,EC0005
171.10053,(+/-)-Methyl 5-acetoxyhexanoate,M-H2O+H[1+],5.6352,0.00100546677001034,EC0006
189.11106,(+/-)-Methyl 5-acetoxyhexanoate,M+H[1+],5.6361,0.00107546677000414,EC0006
211.09313,(+/-)-Methyl 5-acetoxyhexanoate,M+Na[1+],5.6319,0.00100546677001034,EC0006
346.27258,(+/-)8(9)-EET Ethanolamide,M-H2O+H[1+],6.0334,0.00139646677001792,EC0007
199.16825,(±)-Menthyl acetate,M+H[1+],7.3765,0.00100641477001773,EC0008
199.16833,(±)-Menthyl acetate,M+H[1+],8.8079,0.000926414770020756,EC0009
267.15556,(±)-Menthyl acetate,M+HCOONa[1+],7.5163,0.00109641477001787,EC0008
346.27258,(±)11(12)-EET Ethanolamide⇥,M-H2O+H[1+],6.0334,0.00144052177000731,EC0007
367.31949,(10E)-19-Fluorovitamin D3,M-H4O2+H[1+],10.2228,0.00361353323000912,EC00010
385.32991,(10E)-19-Fluorovitamin D3,M-H2O+H[1+],10.2228,0.00343353323000883,EC00010
307.22542,"(13E)-11a-Hydroxy-9,15-dioxoprost-13-enoic acid",M-HCOOH+H[1+],6.6124,0.00143060076999291,EC00011
309.24099,"(13E)-11a-Hydroxy-9,15-dioxoprost-13-enoic acid",M-CO2+H[1+],6.8222,0.00146060076997401,EC00011
325.23597,"(13E)-11a-Hydroxy-9,15-dioxoprost-13-enoic acid",M-CO+H[1+],6.6124,0.00128060076997372,EC00011
335.2197,"(13E)-11a-Hydroxy-9,15-dioxoprost-13-enoic acid",M-H2O+H[1+],7.3066,0.00195060076998743,EC00011
352.22616,"(13E)-11a-Hydroxy-9,15-dioxoprost-13-enoic acid",M[1+],6.9718,0.00118586600001436,EC00011
375.21065,"(13E)-11a-Hydroxy-9,15-dioxoprost-13-enoic acid",M+Na[1+],7.1658,0.003600600770028,EC00011
461.30093,"(17Z)-1alpha,25-Dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3",M+Na[1+],10.8601,0.00174646676998691,EC00012
291.19378,"(1R,2R)-3-Oxo-2-pentyl-cyclopentanehexanoic acid",M+Na[1+],7.2976,0.00065753323002582,EC00013
291.19412,"(1R,2R)-3-Oxo-2-pentyl-cyclopentanehexanoic acid",M+Na[1+],7.03,0.000997533230020053,EC00014
291.19417,"(1R,2R)-3-Oxo-2-pentyl-cyclopentanehexanoic acid",M+Na[1+],7.7846,0.0010475332300075,EC00015
