"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"N-acyl amines","78","48","21","6.6055","3.2772e-05","0.00011662","0.0011134","0","0","0.003309972","0.01177862","0.1124534","P1","EC0001962;EC0002286;EC0001906;EC0001604;EC0001914;EC0001915;EC0001020;EC0001921;EC0001923;EC000698;EC0001928;EC000869;EC000764;EC000838;EC000803;EC0001927;EC0001929;EC0001930"
"Ubiquinones","14","2","2","0.56944","0.011838","0.099542","0.0011673","2","0.02","1","1","0.11673","P2","EC000586;EC000587;EC0001493"
"Steroid lactones","6","1","1","0.22778","0.012607","0.21159","0.0011709","0","0","1","1","0.11673","P3","EC000678;EC000679"
"PE-Cer","2291","308","88","6.2638","0.01649","0.037817","0.0011893","0","0","1","1","0.11673","P4","EC0002118;EC000114;EC0002124;EC0002138;EC0002139;EC0001208;EC0002147;EC0002148;EC0002149;EC0002150;EC0002153;EC0002154"
"HODEs","18","18","18","0.68333","0.021721","0.13856","0.0012145","12","0.12","1","1","0.1178065","P5","EC000194;EC000305;EC000306"
"LPS","63","12","5","1.8222","0.026656","0.094992","0.0012388","1","0.01","1","1","0.1189248","P6","EC0001720;EC0001723;EC0001317;EC0001724;EC0001730"
"LPE","67","34","12","6.7194","0.027944","0.059167","0.0012452","6","0.06","1","1","0.1189248","P7","EC0001585;EC0001590;EC0001800;EC0001801;EC0001082;EC0001393;EC0001085;EC0001807;EC0001809;EC0001604;EC0001588;EC0001078"
"O-LPS","14","11","5","1.9361","0.034391","0.11378","0.0012779","1","0.01","1","1","0.1201226","P8","EC0001736;EC0001737;EC0001743;EC0001750;EC0001751"
"SM","2315","178","61","4.1","0.042205","0.10006","0.0013188","2","0.02","1","1","0.1226484","P9","EC0002118;EC000114;EC0002138;EC0002124;EC0001208;EC0002139;EC0002148;EC0002154"
"Acyl carnitines","159","85","22","15.603","0.049852","0.0797","0.00136","22","0.22","1","1","0.12512","P10","EC0001930;EC000822;EC000795;EC000803;EC000819;EC000826;EC000833;EC000834;EC000838;EC000844;EC000845;EC000849;EC000852;EC000857;EC000856;EC000865;EC000866;EC000869;EC000867;EC000878;EC000902;EC000922"
"LPIP","53","8","3","0.9111","0.051276","0.22328","0.0013679","5","0.05","1","1","0.12512","P11","EC0001705;EC0001708;EC0001709"
"PC","1980","234","38","7.6305","0.066386","0.12241","0.0014539","2","0.02","1","1","0.130851","P12","EC0001381;EC0002078;EC0002112;EC0002115;EC0001750;EC0002070;EC0001743;EC0002086;EC0002090;EC0002103;EC0001751;EC0002108"
"Prostaglandins","107","84","24","7.6305","0.066386","0.12241","0.0014539","37","0.37","1","1","0.130851","P13","EC000276;EC000364;EC000203;EC000209;EC000210;EC000277;EC000278;EC000300;EC000298;EC000423;EC0001914;EC0001846"
"LPC","79","38","10","5.3527","0.073983","0.14839","0.0014993","6","0.06","1","1","0.1319384","P14","EC0001588;EC0001099;EC0001604;EC0001078;EC0001585;EC0001590;EC0001082;EC0001085;EC0001088"
"PE","1974","271","45","8.1999","0.10274","0.17586","0.0016851","4","0.04","1","1","0.1466037","P15","EC0001381;EC0002108;EC0001750;EC0002158;EC0002078;EC0002070;EC0001743;EC0002086;EC0002090;EC0002164;EC0002103;EC0001751"
"EpETrE","12","12","12","0.11389","0.11246","1","0.0017532","4","0.04","1","1","0.1507752","P16","EC000228"
"Ecdysones","4","1","1","0.11389","0.11246","1","0.0017532","12","0.12","1","1","0.1507752","P17","EC0002350"
"Gangliosides","134","2","2","0.11389","0.11246","1","0.0017532","1","0.01","1","1","0.1507752","P18","EC0001396"
"C15 isoprenoids","94","34","10","6.0361","0.13363","0.23684","0.0019116","21","0.21","1","1","0.1586628","P19","EC0001518;EC0001170;EC00060;EC000709;EC000718;EC0001523;EC0001457;EC0001848;EC0001493"
"MAG","71","46","13","8.6555","0.13899","0.22541","0.0019541","64","0.64","1","1","0.1602362","P20","EC0001836;EC0001846;EC000612;EC000613;EC0001840;EC0001833;EC0001848;EC000140;EC000625;EC000586;EC000587;EC000209"
"HETrE","7","7","6","0.68333","0.13941","0.51024","0.0019574","4","0.04","1","1","0.1602362","P21","EC000210;EC000286"
"Cardanolides","10","4","2","0.68333","0.13941","0.51024","0.0019574","5","0.05","1","1","0.1602362","P22","EC000666;EC0001546"
"LPGP","53","6","2","0.68333","0.13941","0.51024","0.0019574","6","0.06","1","1","0.1602362","P23","EC0001646;EC0001647"
"Thromboxanes","10","7","2","1.3667","0.14418","0.39618","0.0019961","24","0.24","1","1","0.1602362","P24","EC000403;EC000277;EC000278"
"Methoxy Fatty Acids","4","4","3","1.3667","0.14418","0.39618","0.0019961","11","0.11","1","1","0.1602362","P25","EC000264;EC000294;EC000625"
"Fatty alcohols","50","25","8","5.3527","0.1506","0.26937","0.0020495","14","0.14","1","1","0.1602362","P26","EC000131;EC0002291;EC0002413;EC000448;EC000580;EC000583;EC000636;EC0002469"
"Hippuric acids","3","1","1","0.22778","0.21231","1","0.0026458","1","0.01","1","1","0.198435","P27","EC000276"
"Fatty amides","5","2","1","0.22778","0.21231","1","0.0026458","10","0.1","1","1","0.198435","P28","EC000271"
"Fatty esters","16","7","3","0.9111","0.22452","0.61411","0.0027842","16","0.16","1","1","0.2032466","P29","EC00094;EC0001271"
"Saturated Fatty Acids","38","9","3","1.7083","0.23352","0.51403","0.002891","6","0.06","1","1","0.208152","P30","EC000484;EC000550;EC000183"
"C10 isoprenoids","81","51","6","4.3277","0.2502","0.42453","0.0031007","6","0.06","1","1","0.2201497","P31","EC0008;EC000536;EC000716;EC0001522;EC0001901;EC000298"
"PhytoCer","805","161","33","6.1499","0.25632","0.40208","0.0031815","17","0.17","1","1","0.222705","P32","EC000961;EC0001032;EC000989;EC0001038;EC0001005;EC000998;EC0001052;EC0001057"
"Flavones and Flavonols","63","17","3","1.8222","0.26526","0.54983","0.0033038","12","0.12","1","1","0.2279622","P33","EC0001522;EC0001512;EC0001527"
"C19 steroids","43","25","5","1.9361","0.29747","0.58374","0.0037874","53","0.53","1","1","0.2575432","P34","EC000559;EC000367;EC000286"
"Monoalkylamines","13","3","1","0.34166","0.30097","1","0.0038442","13","0.13","1","1","0.2575614","P35","EC000271"
"Hepoxilins","3","3","1","0.34166","0.30097","1","0.0038442","11","0.11","1","1","0.2575614","P36","EC000276"
"Depsides and depsidones","4","2","1","0.34166","0.30097","1","0.0038442","12","0.12","1","1","0.2575614","P37","EC0001527"
"Pyranocoumarins","3","2","1","0.34166","0.30097","1","0.0038442","6","0.06","1","1","0.2575614","P38","EC000756"
"PI","1965","159","20","4.7833","0.33182","0.51533","0.0043873","8","0.08","1","1","0.2763999","P39","EC0002265;EC0002266;EC0001253;EC0001256;EC0002279;EC0001265"
"C20 isoprenoids","81","33","7","5.9222","0.3671","0.5356","0.0051109","9","0.09","1","1","0.3168758","P40","EC000484;EC0001301;EC000719;EC000852;EC0001149;EC0001398;EC0001405"
"Macrolactams","12","4","1","0.45555","0.37968","1","0.0053989","11","0.11","1","1","0.3293329","P41","EC000768"
"O-LPGP","18","3","1","0.45555","0.37968","1","0.0053989","9","0.09","1","1","0.3293329","P42","EC0001651"
"Hydroxy Fatty Acids","274","147","43","25.739","0.39691","0.47517","0.0058225","80","0.8","1","1","0.3435275","P43","EC000360;EC00094;EC00088;EC000218;EC000268;EC000209;EC000305;EC000306;EC000595;EC000388;EC000654;EC0001434;EC000228;EC000286;EC0001443;EC000427;EC000294;EC0001457;EC000559;EC0001459;EC000194;EC0001464;EC0001471;EC0001479;EC00060;EC000103;EC000105"
"Flavanones","18","13","2","1.3667","0.39801","0.76058","0.0058507","12","0.12","1","1","0.3435275","P44","EC000724;EC0001318"
"Wax monoesters","117","24","6","3.3027","0.41462","0.64704","0.0062957","32","0.32","1","1","0.3588549","P45","EC000183;EC000550;EC000484;EC00057"
"LPG","62","21","3","3.3027","0.41462","0.64704","0.0062957","25","0.25","1","1","0.3588549","P46","EC0001618;EC000448;EC0001621;EC0001623"
"Other Octadecanoids","27","27","15","5.2388","0.41615","0.59968","0.0063384","90","0.9","1","1","0.3588549","P47","EC000218;EC000194;EC000305;EC000306;EC000612;EC000613"
"N-acyl ethanolamines","38","32","8","6.2638","0.4252","0.59296","0.006598","55","0.55","1","1","0.3588549","P48","EC00063;EC000228;EC0001535;EC000683;EC00052;EC00053;EC0001965"
"Jasmonic acids","7","7","5","1.4805","0.43898","0.78754","0.0070156","21","0.21","1","1","0.3718268","P49","EC000249;EC00060"
"Branched Fatty Acids","38","21","8","3.4166","0.44107","0.67024","0.0070814","14","0.14","1","1","0.3718268","P50","EC000484;EC000183;EC00083;EC000550"
