Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
163.0595,(-)-1-Methylpropyl 1-propenyl disulfide,M+H[1+],6.43,0.00146829477000665,EC0001
163.05957,(-)-1-Methylpropyl 1-propenyl disulfide,M+H[1+],6.1438,0.00139829477001285,EC0002
354.23175,(-)-Aspidospermine,M[1+],6.8113,0.00102178599996705,EC0003
355.23462,(-)-Aspidospermine,M+H[1+],6.8113,0.00338468077001153,EC0003
195.08549,(-)-Bornesitol,M+H[1+],6.4135,0.00082464677001326,EC0004
129.05367,(+/-)-Furaneol,M+H[1+],2.5858,0.000906466770004499,EC0005
163.07434,"(1R,2S)-1,2-Dihydronaphthalene-1,2-diol",M+H[1+],4.7765,0.00101646677001099,EC0006
185.05764,"(1R,2S)-1,2-Dihydronaphthalene-1,2-diol",M+Na[1+],2.2363,0.000283533229975319,EC0007
185.05781,"(1R,2S)-1,2-Dihydronaphthalene-1,2-diol",M+Na[1+],2.0464,0.000453533229972436,EC0007
110.04812,"(1S,2R)-3-Methylcyclohexa-3,5-diene-1,2-diol",M-NH3+H[1+],1.2298,0.000736466769993172,EC0008
149.05872,"(1S,2R)-3-Methylcyclohexa-3,5-diene-1,2-diol",M+Na[1+],1.5207,0.00136353323000549,EC0008
130.08523,(2E)-Decenoyl-ACP,M+H[1+],0.8955,0.00102506777000144,EC0009
113.05655,"(2R,3R)-2,3-Butanediol",M+Na[1+],1.2183,0.000806030769993527,EC00010
394.17896,"(3R,5S)-Fluvastatin",M-H2O+H[1+],8.5475,0.00230346677000171,EC00011
345.21161,(Ac)2-L-Lysyl-D-alanyl-D-alanine,M-CO+H[1+],3.9953,0.00155146677002449,EC00012
373.20689,(Ac)2-L-Lysyl-D-alanyl-D-alanine,M+H[1+],3.9928,0.0012714667700493,EC00012
395.18643,(Ac)2-L-Lysyl-D-alanyl-D-alanine,M+Na[1+],10.6919,0.00373146677009117,EC00013
144.0798,(R)-Boschniakine,M-H2O+H[1+],2.304,0.000940445769998632,EC00014
162.0903,(R)-Boschniakine,M+H[1+],4.9955,0.00104044577000195,EC00015
180.10086,(R)-Boschniakine,M+H2O+H[1+],3.3525,0.00108044577001465,EC00014
230.0776,(R)-Boschniakine,M+HCOONa[1+],4.992,0.00114044577000527,EC00015
144.0798,(R)-Salsolinol,M-H4O2+H[1+],2.304,0.00090513176999707,EC00016
162.0903,(R)-Salsolinol,M-H2O+H[1+],4.9955,0.00100513176997197,EC00017
163.07434,(R)-Salsolinol,M-NH3+H[1+],4.7765,0.00106513176999101,EC00017
180.10086,(R)-Salsolinol,M+H[1+],3.3525,0.00104513176998466,EC00016
191.03068,(S)-4-Hydroxymandelate,M+Na[1+],0.7635,0.000855210770026815,EC00018
139.11073,(S)-4-Nonanolide,M-H2O+H[1+],5.7772,0.000976466769998297,EC00019
157.12128,(S)-4-Nonanolide,M+H[1+],5.7772,0.00102646676998575,EC00019
175.13176,(S)-4-Nonanolide,M+H2O+H[1+],5.7802,0.00114646676999541,EC00019
