"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Phenothiazines","14","6","4","0.96854","0.0080465","0.052817","0.00066817","6","0.06","0.7483245","1","0.06213981","P1","EC0001431;EC0001241;EC000225;EC000226"
"Amino acids","510","159","44","17.313","0.029073","0.04752","0.00072665","9","0.09","1","1","0.0668518","P2","EC00070;EC000224;EC00082;EC000744;EC000230;EC0001011;EC0001045;EC0001048;EC000829;EC0001321;EC0001462;EC0001344;EC000187;EC0001352;EC0001531;EC00023;EC0001302;EC000178;EC000175;EC000367;EC000832;EC0001183;EC0001315;EC0001179"
"Pyrazines","9","3","2","0.3632","0.036215","0.30447","0.0007477","2","0.02","1","1","0.0680407","P3","EC00097;EC000105"
"Anilides","13","4","3","0.96854","0.053589","0.22894","0.00080164","10","0.1","1","1","0.0721476","P4","EC00090;EC0001507;EC0001401"
"Indolyl carboxylic acids","13","3","2","0.48427","0.067007","0.38386","0.00084606","7","0.07","1","1","0.07529934","P5","EC000187;EC000367"
"Aryl alkyl ketones","13","4","2","0.48427","0.067007","0.38386","0.00084606","4","0.04","1","1","0.07529934","P6","EC000219;EC0001334"
"Carbonyl compounds","16","4","2","0.48427","0.067007","0.38386","0.00084606","4","0.04","1","1","0.07529934","P7","EC000119;EC0001162"
"Phenanthrenes","5","2","1","0.48427","0.067007","0.38386","0.00084606","1","0.01","1","1","0.07529934","P8","EC000732;EC000733"
"Other alkaloids","36","12","5","2.6635","0.097527","0.23586","0.00095699","28","0.28","1","1","0.08134415","P9","EC000219;EC000755;EC000756;EC0001374;EC0001375"
"Aralkylamines","15","4","2","0.60534","0.1034","0.45423","0.00098004","10","0.1","1","1","0.08232336","P10","EC000391;EC00090"
"Amino sugars","15","3","1","0.60534","0.1034","0.45423","0.00098004","3","0.03","1","1","0.08232336","P11","EC0001498;EC0001499"
"6-aminopurines","3","1","1","0.12107","0.11456","1","0.0010255","4","0.04","1","1","0.084091","P12","EC000175"
"Pyrimidine ribonucleoside monophosphates","9","1","1","0.12107","0.11456","1","0.0010255","10","0.1","1","1","0.084091","P13","EC00097"
"Gamma-keto acids","3","1","1","0.12107","0.11456","1","0.0010255","11","0.11","1","1","0.084091","P14","EC000130"
"Pyrrolidinylpyridines","8","1","1","0.12107","0.11456","1","0.0010255","11","0.11","1","1","0.084091","P15","EC0001334"
"Aminopyrimidines","3","1","1","0.12107","0.11456","1","0.0010255","8","0.08","1","1","0.084091","P16","EC000914"
"Phenylpiperazines","4","1","1","0.12107","0.11456","1","0.0010255","16","0.16","1","1","0.084091","P17","EC000396"
"Benzoxazolones","3","1","1","0.12107","0.11456","1","0.0010255","2","0.02","1","1","0.084091","P18","EC000772"
"Other nucleic acids","6","1","1","0.12107","0.11456","1","0.0010255","7","0.07","1","1","0.084091","P19","EC000884"
"Dihydrobenzophenanthridine alkaloids","3","1","1","0.12107","0.11456","1","0.0010255","3","0.03","1","1","0.084091","P20","EC0001340"
"N-alkylpyrrolidines","5","1","1","0.12107","0.11456","1","0.0010255","21","0.21","1","1","0.084091","P21","EC0001287"
"Phenanthrols","8","2","2","0.12107","0.11456","1","0.0010255","7","0.07","1","1","0.084091","P22","EC00026"
