structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	0.125	0.125	-85.331		0.893	14.245	C6H6FO3PS	[M + K]+	C6H6FKO3PS+	RDAVYJKCJHOMSD	InChI=1S/C6H6FO3PS/c7-4-1-2-6(12)5(3-4)11(8,9)10/h1-3,12H,(H2,8,9,10)	5-Fluoro-2-sulfanyl-phenylphosphonic acid	C1=CC(=C(C=C1F)P(=O)(O)O)S	0.200	49799138	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(49799138);PUBMED:(null)	16777282	246.937	36	0.593	816964643019809945	816964165406012804	816964165376652675	6	
1	1	0.180	0.180	-197.594		0.950	31.218	C16H32N2O10	[M + H]+	C16H33N2O10+	TVBWHGVMDKQHJJ	InChI=1S/C16H32N2O10/c19-5-7-9(21)11(23)13(25)15(27-7)17-3-1-2-4-18-16-14(26)12(24)10(22)8(6-20)28-16/h7-26H,1-6H2	N,N'-Bis(alpha-D-mannopyranosyl)-1,4-butanediamine	C(CCNC1C(C(C(C(O1)CO)O)O)O)CNC2C(C(C(C(O2)CO)O)O)O	-4.200	101202401	PUBCHEM:(101202401)	2	413.211	36	0.606	816964648262691053	816964165577979273	816964165573784968	7	
1	1	0.157	0.157	-82.004		0.995	32.190	C6H11O5P	[M + K]+	C6H11KO5P+	HRTGCDRCJQKACR	InChI=1S/C6H11O5P/c1-5(6(7)9-2)12(8,10-3)11-4/h1H2,2-4H3	Methyl 2-(dimethoxyphosphinyl)acrylate	COC(=O)C(=C)P(=O)(OC)OC	0.000	3016938	NORMAN:(NS00033255);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(3016938);DSSTox:(DTXSID00203675)	137506324482	232.998	37	0.620	816964725454676182	816964165703808398	816964165703808397	26	
1	1	0.007	0.007	-202.738		0.987	8.837	C11H24N2O5	[M + H]+	C11H25N2O5+	BIOQXNMMINDLQA	InChI=1S/C11H24N2O5/c1-15-4-5-16-6-7-17-8-9-18-10-11(14)13-3-2-12/h2-10,12H2,1H3,(H,13,14)	N-(2-aminoethyl)-2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]acetamide	COCCOCCOCCOCC(=O)NCCN	-2.000	113426778	PUBCHEM:(113426778)	2	265.175	37	0.621	816964648371742993	816964165812860307	816964165812860306	27	
1	1	0.235	0.235	-85.568		0.986	30.643	C7H13O5P	[M + K]+	C7H13KO5P+	STCBUTTVBMCYJL	InChI=1S/C7H13O5P/c1-13(12,4-2-6(8)9)5-3-7(10)11/h2-5H2,1H3,(H,8,9)(H,10,11)	Propanoic acid, 3,3'-(methylphosphinylidene)bis-	CP(=O)(CCC(=O)O)CCC(=O)O	-1.600	20707859;103972	NORMAN:(NS00057775);PUBCHEM:(20707859 103972);DSSTox:(DTXSID3068671)	137439215618	247.014	37	0.623	816964672669350467	816964166160987554	816964166160987553	40	
1	1	0.050	0.050	-251.048		0.966	19.963	C9H20N2O4	[M + H]+	C9H21N2O4+	YACLTUWSWMFZMM	InChI=1S/C9H20N2O4/c10-8(9(14)15)3-1-2-4-11-5-7(13)6-12/h7-8,11-13H,1-6,10H2,(H,14,15)	2-Amino-6-(2,3-dihydroxypropylamino)hexanoic acid	C(CCNCC(CO)O)CC(C(=O)O)N	-4.000	13895083;13895084	MESH:(13895084);PUBCHEM:(13895083 13895084);DSSTox:(DTXSID401008572);PUBMED:(null)	137438953542	221.148	38	0.631	816964714373321977	816964166609778102	816964166609778101	61	
1	2	-Infinity	-Infinity	-295.724		0.152	20.032	C13H20FN4O7PS	[M + K]+	C13H20FKN4O7PS+	SXERXNSQAPGWGQ	InChI=1S/C13H20FN4O7PS/c1-6(12(20)24-2)17-26(22,23)25-5-7-10(19)9(14)11(27-7)18-4-3-8(15)16-13(18)21/h3-4,6-7,9-11,19H,5H2,1-2H3,(H2,15,16,21)(H2,17,22,23)	[(2R,3S,4S,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-4-fluoro-3-hydroxythiolan-2-yl]methoxy-N-[(2S)-1-methoxy-1-oxopropan-2-yl]phosphonamidic acid	CC(C(=O)OC)NP(=O)(O)OCC1C(C(C(S1)N2C=CC(=NC2=O)N)F)O	-1.900	135369484;155057311;121315196;130384607	PUBCHEM:(135369484 155057311 121315196 130384607)	2	465.039	45	0.742	816964693531822164	816964169419961907	816964169419961906	210	
1	1	0.114	0.114	-75.128		0.965	12.851	C9H10O5	[M + Na]+	C9H10NaO5+	NHOCEIKFQXQFMX	InChI=1S/C9H10O5/c1-6(10)13-9(14-7(2)11)8-4-3-5-12-8/h3-5,9H,1-2H3	Methanediol, 2-furanyl-, diacetate	CC(=O)OC(C1=CC=CO1)OC(=O)C	0.700	69181	NORMAN:(NS00042518);PUBCHEM:(69181);DSSTox:(DTXSID80879478)	137439215618	221.041	45	0.750	816964689761142237	816964169524819512	816964169524819511	213	
1	6	0.486	0.486	-161.914		0.012	7.617	C15H18O10	[M + Na]+	C15H18NaO10+	HAUKIOPKXXACAD	InChI=1S/C15H18O10/c16-7-3-1-6(2-4-9(17)18)5-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-4,6,8,10-13,15,19-21H,5H2,(H,17,18)(H,22,23)	(2S,3S,4S,5R)-6-[5-(2-carboxyethenyl)-2-oxocyclohex-3-en-1-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid	C1C(C=CC(=O)C1OC2C(C(C(C(O2)C(=O)O)O)O)O)C=CC(=O)O	-1.200	90769968	BloodExposome:(90769968);PUBCHEM:(90769968);PUBMED:(null)	4194370	381.078	46	0.770	816964723013590679	816964170208491094	816964170208491093	232	
1	2	0.049	0.049	-140.851		0.130	0.456	C23H8Cl8N4O2	[M + Na]+	C23H8Cl8N4NaO2+	WZSFTHVIIGGDOI	InChI=1S/C23H8Cl8N4O2/c1-5-6(32-20-8-10(22(36)34-20)14(26)18(30)16(28)12(8)24)3-2-4-7(5)33-21-9-11(23(37)35-21)15(27)19(31)17(29)13(9)25/h2-4H,1H3,(H,32,34,36)(H,33,35,37)	3,3'-[(2-Methyl-1,3-phenylene)diimino]bis[4,5,6,7-tetrachloro-1H-isoindol-1-one]	CC1=C(C=CC=C1N=C2C3=C(C(=C(C(=C3Cl)Cl)Cl)Cl)C(=O)N2)N=C4C5=C(C(=C(C(=C5Cl)Cl)Cl)Cl)C(=O)N4	8.600	135481898	NORMAN:(NS00019567);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(135481898);DSSTox:(DTXSID9052137)	137506324482	674.808	49	0.820	816964659310489615	816964170816665204	816964170816665203	253	
